"Carrier","Year","Total Departures","Total Passengers","Total Seats","Total Load Factor (%)","Total Passengers/Flight","Total Seats/Flight","Total Distance/Flight (sm)","Total Distance/Passenger (sm)","Total Payload (lbs)","Total Freight (lbs)","Total Mail (lbs)","Domestic Departures","Domestic Passengers","Domestic Seats","Domestic Load Factor (%)","Domestic Passengers/Flight","Domestic Seats/Flight","Domestic Distance/Flight (sm)","Domestic Distance/Passenger (sm)","Domestic Payload (lbs)","Domestic Freight (lbs)","Domestic Mail (lbs)","Outbound International Departures","Outbound International Passengers","Outbound International Seats","Outbound International Load Factor (%)","Outbound International Passengers/Flight","Outbound International Seats/Flight","Outbound International Distance/Flight (sm)","Outbound International Distance/Passenger (sm)","Outbound International Payload (lbs)","Outbound International Freight (lbs)","Outbound International Mail (lbs)","Inbound International Departures","Inbound International Passengers","Inbound International Seats","Inbound International Load Factor (%)","Inbound International Passengers/Flight","Inbound International Seats/Flight","Inbound International Distance/Flight (sm)","Inbound International Distance/Passenger (sm)","Inbound International Payload (lbs)","Inbound International Freight (lbs)","Inbound International Mail (lbs)"
"Cargojet Airways Ltd.","2023","9,770","0","0",,"0","0","1,318.96765609007",,"997,722,844","505,559,251","0","1","0","0",,"0","0","589",,"115,940","0","0","4,882","0","0",,"0","0","1,436.20585825481",,"498,465,157","276,886,391","0","4,887","0","0",,"0","0","1,201.99877225292",,"499,141,747","228,672,860","0"
"Cargolux Airlines International S.A","2023","3,461","0","0",,"0","0","5,424.90956370991",,"837,848,000","542,286,209","0",,,,,,,,,,,,"1,733","0","0",,"0","0","4,711.15522215811",,"419,339,800","225,567,714","0","1,728","0","0",,"0","0","6,140.72916666667",,"418,508,200","316,718,495","0"
"Cargolux Italia SpA","2023","237","0","0",,"0","0","5,460.20675105485",,"57,191,416","39,249,804","0",,,,,,,,,,,,"107","0","0",,"0","0","4,054.01869158879",,"25,894,000","13,347,556","0","130","0","0",,"0","0","6,617.60769230769",,"31,297,416","25,902,248","0"
"Caribbean Airlines Limited","2023","4,033","511,509","644,520","79.4","126.8308951153","159.81155467394","1,951.2080337218","1,961.58302981961","454,675,055","1,855,531","0",,,,,,,,,,,,"2,016","256,052","321,760","79.6","127.00992063492","159.60317460317","1,951.10615079365","1,967.77988064924","226,533,577","417,272","0","2,017","255,457","322,760","79.1","126.65195835399","160.01983143282","1,951.30986613783","1,955.37174553839","228,141,478","1,438,259","0"
"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","2023","1,999","61,775","309,895","19.9","30.90295147574","155.02501250625","398.60980490245","396.47376770538","67,000,000","0","0","322","8,292","49,910","16.6","25.75155279503","155","871.30124223602","773.7161119151","11,270,000","0","0","838","32,348","129,890","24.9","38.60143198091","155","306.8138424821","330.71444911587","27,877,000","0","0","839","21,135","130,095","16.2","25.19070321812","155.05959475566","308.88200238379","349.11577951266","27,853,000","0","0"
"Cathay Pacific Airways Ltd.","2023","11,645","1,109,869","1,255,784","88.4","95.30863031344","107.8389008158","5,063.85238299699","7,584.4032250653","2,475,777,969","1,454,228,386","0","3,163","0","0",,"0","0","2,562.49794498894",,"845,394,000","563,095,563","0","4,240","563,490","627,494","89.8","132.89858490566","147.99386792453","5,995.62900943396","7,588.08981880779","815,085,874","359,991,616","0","4,242","546,379","628,290","87","128.80221593588","148.1117397454","5,997.62211221122","7,580.60117793693","815,298,095","531,141,207","0"
"Cavok Air LLC","2023","18","0","0",,"0","0","2,045",,"792,000","204,206","0",,,,,,,,,,,,"14","0","0",,"0","0","2,108.35714285714",,"616,000","163,893","0","4","0","0",,"0","0","1,823.25",,"176,000","40,313","0"
"Cayman Airways Limited","2023","2,129","206,370","339,680","60.8","96.93283231564","159.54908407703","850.28558008455","841.56185976644","213,068,680","321,682","0","1","0","160","0","0","160","62",,"100,100","0","0","1,064","104,796","170,080","61.6","98.49248120301","159.84962406015","849.79981203008","840.88103553571","106,172,880","283,877","0","1,064","101,574","169,440","59.9","95.46428571429","159.24812030075","851.51221804511","842.26428022919","106,795,700","37,805","0"
"Challenge Airlines (BE) S.A.","2023","434","0","0",,"0","0","4,016.43548387097",,"104,073,200","50,525,421","0","3","0","0",,"0","0","852.33333333333",,"719,400","108,150","0","214","0","0",,"0","0","4,038.77570093458",,"51,317,200","21,446,365","0","217","0","0",,"0","0","4,038.14746543779",,"52,036,600","28,970,906","0"
"Chartright Air Inc.","2023","2,009","6,354","16,103","39.5","3.16276754604","8.01543056247","830.18218018915","898.96002518099","9,686,670","0","0","204","484","1,632","29.7","2.37254901961","8","500.08823529412","601.53099173554","997,181","0","0","884","2,800","7,005","40","3.16742081448","7.9242081448","868.77601809955","932.88785714286","4,187,046","0","0","921","3,070","7,466","41.1","3.33333333333","8.10640608035","866.25407166124","914.90716612378","4,502,443","0","0"
"China Airlines Ltd.","2023","9,483","865,621","1,017,366","85.1","91.28134556575","107.28313824739","5,173.2893599072","6,830.62938283614","1,680,573,754","975,079,354","0","2,616","0","0",,"0","0","2,689.44839449541",,"573,935,218","357,922,896","0","3,433","441,140","507,186","87","128.49985435479","147.73842120594","6,140.75385959802","6,823.09272339847","533,522,833","210,139,974","0","3,434","424,481","510,180","83.2","123.61124053582","148.56726849156","6,098.28130460105","6,838.46182279066","573,115,703","407,016,484","0"
"China Cargo Airline","2023","3,184","0","0",,"0","0","5,877.61683417085",,"664,576,000","514,068,296","0","486","0","0",,"0","0","2,846",,"104,236,000","102,522,867","0","1,349","0","0",,"0","0","6,918.89918458117",,"275,341,000","138,085,397","0","1,349","0","0",,"0","0","5,928.52557449963",,"284,999,000","273,460,032","0"
"China Eastern Airlines","2023","420","108,355","130,984","82.7","257.9880952381","311.86666666667","6,702.76190476191","6,787.66251672742","64,408,080","11,759,065","0","11","3,024","3,476","87","274.90909090909","316","337","337","1,500,400","151,795","0","199","50,427","62,172","81.1","253.40201005025","312.42211055276","6,894.78894472362","7,002.64848196403","30,663,600","3,440,189","0","210","54,904","65,336","84","261.44761904762","311.12380952381","6,854.2380952381","6,945.49630263733","32,244,080","8,167,081","0"
