"Carrier","Year","Total Departures","Total Passengers","Total Seats","Total Load Factor (%)","Total Passengers/Flight","Total Seats/Flight","Total Distance/Flight (sm)","Total Distance/Passenger (sm)","Total Payload (lbs)","Total Freight (lbs)","Total Mail (lbs)","Domestic Departures","Domestic Passengers","Domestic Seats","Domestic Load Factor (%)","Domestic Passengers/Flight","Domestic Seats/Flight","Domestic Distance/Flight (sm)","Domestic Distance/Passenger (sm)","Domestic Payload (lbs)","Domestic Freight (lbs)","Domestic Mail (lbs)","Outbound International Departures","Outbound International Passengers","Outbound International Seats","Outbound International Load Factor (%)","Outbound International Passengers/Flight","Outbound International Seats/Flight","Outbound International Distance/Flight (sm)","Outbound International Distance/Passenger (sm)","Outbound International Payload (lbs)","Outbound International Freight (lbs)","Outbound International Mail (lbs)","Inbound International Departures","Inbound International Passengers","Inbound International Seats","Inbound International Load Factor (%)","Inbound International Passengers/Flight","Inbound International Seats/Flight","Inbound International Distance/Flight (sm)","Inbound International Distance/Passenger (sm)","Inbound International Payload (lbs)","Inbound International Freight (lbs)","Inbound International Mail (lbs)"
"Fast Colombia SAS d/b/a Viva Colombia","2023","150","23,243","27,900","83.3","154.95333333333","186","1,413.46666666667","1,413.11276513359","5,640,052","0","0",,,,,,,,,,,,"75","10,667","13,950","76.5","142.22666666667","186","1,413.46666666667","1,411.88619105653","2,820,026","0","0","75","12,576","13,950","90.2","167.68","186","1,413.46666666667","1,414.15314885496","2,820,026","0","0"
"Federal Express Corporation","2023","273,984","0","0",,"0","0","916.40225341626",,"25,327,468,091","12,401,320,276","2,029","244,143","0","0",,"0","0","705.91617617544",,"21,065,001,703","10,217,078,226","2,029","14,839","0","0",,"0","0","2,550.60037738392",,"2,130,211,185","907,901,747","0","15,002","0","0",,"0","0","2,725.41681109185",,"2,132,255,203","1,276,340,303","0"
"Finnair Oy","2023","1,916","397,490","545,018","72.9","207.45824634656","284.45615866388","4,732.94050104384","4,720.51066441923","192,194,732","33,182,593","0",,,,,,,,,,,,"958","191,056","272,509","70.1","199.43215031315","284.45615866388","4,732.94050104384","4,700.60817247299","89,454,079","9,198,007","0","958","206,434","272,509","75.8","215.48434237996","284.45615866388","4,732.94050104384","4,738.93054923123","102,740,653","23,984,586","0"
"Flair Airlines Ltd.","2023","4,521","635,413","853,165","74.5","140.54700287547","188.71156823712","1,149.53373147534","1,137.32538836945","676,282,067","0","0","2","68","378","18","34","189","118","118","304,920","0","0","2,253","325,328","425,161","76.5","144.39769196627","188.70883266755","1,149.21704394141","1,137.40548308169","336,716,490","0","0","2,266","310,017","427,626","72.5","136.81244483672","188.71403353928","1,150.75904677846","1,137.4649196657","339,260,657","0","0"
"Flightcraft Air Charter Ltd dba KF Aeroflyer","2023","1","89","119","74.8","89","119","1,040","1,040","25,575","1,778","0",,,,,,,,,,,,,,,,,,,,,,,"1","89","119","74.8","89","119","1,040","1,040","25,575","1,778","0"
"Flightworx Aviation Ltd","2023","7","516","630","81.9","73.71428571429","90","5,121.85714285714","4,917.36434108527","259,207","76,730","0","1","94","96","97.9","94","96","1,514","1,514","63,197","18,797","0","4","262","363","72.2","65.5","90.75","5,221.75","5,222.10687022901","128,202","39,136","0","2","160","171","93.6","80","85.5","6,726","6,417.825","67,808","18,797","0"
"Fly PLAY ehf","2023","2,438","393,345","473,399","83.1","161.33921246924","194.1751435603","2,618.22313371616","2,615.91391272293","389,753,661","2,038,624","0",,,,,,,,,,,,"1,216","194,245","236,103","82.3","159.74095394737","194.16365131579","2,617.86513157895","2,615.23965095627","192,052,101","389","0","1,222","199,100","237,296","83.9","162.92962356792","194.18657937807","2,618.57937806874","2,616.57173279759","197,701,560","2,038,235","0"
"Flying Group Lux S.A.","2023","20","39","266","14.7","1.95","13.3","2,447.1","2,782.35897435897","116,869","0","0","8","12","98","12.2","1.5","12.25","579.375","749.58333333333","43,057","0","0","5","12","70","17.1","2.4","14","3,900.4","3,928.16666666667","30,755","0","0","7","15","98","15.3","2.14285714286","14","3,543.57142857143","3,491.93333333333","43,057","0","0"
"Flying Service N.V.","2023","78","234","1,003","23.3","3","12.85897435897","2,997.91025641026","2,914.17948717949","388,386","0","0","24","68","270","25.2","2.83333333333","11.25","951.625","950.77941176471","103,431","0","0","28","84","374","22.5","3","13.35714285714","3,671.71428571429","3,361.86904761905","149,807","0","0","26","82","359","22.8","3.15384615385","13.80769230769","4,161.15384615385","4,083.75609756098","135,148","0","0"
"French bee","2023","2,020","657,522","829,078","79.3","325.50594059406","410.43465346535","4,676.64158415842","4,647.60446494566","182,119,530","7,015,923","0",,,,,,,,,,,,"1,008","314,475","413,717","76","311.97916666667","410.43353174603","4,676.21924603175","4,620.78838381429","90,879,365","1,235,798","0","1,012","343,047","415,361","82.6","338.97924901186","410.43577075099","4,677.06225296443","4,672.18706474623","91,240,165","5,780,125","0"
"Friday Harbor Seaplanes","2023","1,084","3,481","6,552","53.1","3.21125461255","6.0442804428","80","80","1,495,920","0","0","1,084","3,481","6,552","53.1","3.21125461255","6.0442804428","80","80","1,495,920","0","0",,,,,,,,,,,,,,,,,,,,,,
"Frontier Airlines Inc.","2023","188,843","30,218,306","37,535,866","80.5","160.01814205451","198.76757941782","1,006.11427482088","1,018.20521236366","7,507,173,400","0","0","173,809","28,014,017","34,473,722","81.3","161.17702190335","198.34255993648","990.6246684579","1,002.69001796494","6,894,744,600","0","0","7,521","1,104,228","1,531,954","72.1","146.81930594336","203.69020077117","1,184.90267251695","1,218.74300144535","306,390,800","0","0","7,513","1,100,061","1,530,190","71.9","146.42100359377","203.67230134434","1,185.47877013177","1,212.01580821427","306,038,000","0","0"
"GainJet Ireland Ltd","2023","26","58","240","24.2","2.23076923077","9.23076923077","2,521.80769230769","3,423.6724137931","62,480","0","0",,,,,,,,,,,,"10","24","96","25","2.4","9.6","2,766.2","3,697.70833333333","24,640","0","0","16","34","144","23.6","2.125","9","2,369.0625","3,230.23529411765","37,840","0","0"
"Gainjet Aviation SA","2023","86","384","784","49","4.46511627907","9.11627906977","1,994.61627906977","2,124.66145833333","214,764","0","0","41","173","368","47","4.21951219512","8.9756097561","941.73170731707","873.73410404624","101,420","0","0","23","105","216","48.6","4.5652173913","9.39130434783","2,916.47826086957","3,199.00952380952","58,498","0","0","22","106","200","53","4.81818181818","9.09090909091","2,993.04545454546","3,102.05660377359","54,846","0","0"
"Gestair, S.A.","2023","71","195","970","20.1","2.74647887324","13.66197183099","2,501.02816901409","2,853.38461538462","199,182","0","0","28","56","380","14.7","2","13.57142857143","701.53571428571","725.39285714286","77,369","0","0","12","39","155","25.2","3.25","12.91666666667","3,364.66666666667","3,591.46153846154","30,290","0","0","31","100","435","23","3.22580645161","14.03225806452","3,792.06451612903","3,757.21","91,523","0","0"
"Global Crossing Airlines, Inc.","2023","8,213","447,971","1,276,664","35.1","54.54413734324","155.44429562888","795.49044198222","843.54468481219","371,226,999","7,299,682","860,240","3,607","149,007","543,660","27.4","41.31050734683","150.72359301358","899.9013030219","850.51456642977","159,210,499","962,930","860,240","2,307","164,573","366,691","44.9","71.33636757694","158.94711746857","706.63285652362","899.96585709685","106,225,000","4,633,000","0","2,299","134,391","366,313","36.7","58.45628534145","159.33579817312","720.84254023488","766.72434165978","105,791,500","1,703,752","0"
"Global Jet Austria, GmbH","2023","5","20","70","28.6","4","14","3,801","4,199.4","28,445","0","0","1","3","14","21.4","3","14","529","529","5,689","0","0","2","8","28","28.6","4","14","4,544","5,091.5","11,378","0","0","2","9","28","32.1","4.5","14","4,694","4,629.88888888889","11,378","0","0"
"Global Jet Luxembourg, Sa","2023","92","493","1,234","40","5.35869565217","13.41304347826","3,288.08695652174","3,398.73022312373","1,089,903","0","0","18","67","168","39.9","3.72222222222","9.33333333333","825.5","1,362.29850746269","183,978","0","0","35","200","510","39.2","5.71428571429","14.57142857143","4,229.94285714286","4,287.165","475,878","0","0","39","226","556","40.6","5.79487179487","14.25641025641","3,579.41025641026","3,216.22566371681","430,047","0","0"
"Glock Aviation GmbH","2023","96","402","1,344","29.9","4.1875","14","3,567.32291666667","3,801.7263681592","468,088","81,301","0",,,,,,,,,,,,"48","196","672","29.2","4.08333333333","14","3,608.8125","3,779.98979591837","232,944","39,640","0","48","206","672","30.7","4.29166666667","14","3,525.83333333333","3,822.40776699029","235,144","41,661","0"
"GoJet Airlines LLC d/b/a United Express","2023","45,438","1,857,231","2,271,900","81.7","40.87396012148","50","323.57253840398","326.81119957614","800,163,180","0","0","43,672","1,779,343","2,183,600","81.5","40.7433366917","50","316.93407675398","319.69594620037","769,063,920","0","0","884","39,557","44,200","89.5","44.74773755656","50","487.68891402715","488.01466238592","15,567,240","0","0","882","38,331","44,100","86.9","43.45918367347","50","487.78571428571","490.74511492004","15,532,020","0","0"
"Golden Wings Charter, Ltd","2023","11","34","75","45.3","3.09090909091","6.81818181818","213.18181818182","218","22,665","0","0",,,,,,,,,,,,"4","12","27","44.4","3","6.75","210.75","219.33333333333","8,187","0","0","7","22","48","45.8","3.14285714286","6.85714285714","214.57142857143","217.27272727273","14,478","0","0"
"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines","2023","6,833","78,481","94,982","82.6","11.48558466267","13.90048295039","56.44694863164","51.63228042456","20,140,400","0","0","6,833","78,481","94,982","82.6","11.48558466267","13.90048295039","56.44694863164","51.63228042456","20,140,400","0","0",,,,,,,,,,,,,,,,,,,,,,
"Grand Canyon Helicopters","2023","585","0","3,474","0","0","5.93846153846","59",,"861,544","0","0","585","0","3,474","0","0","5.93846153846","59",,"861,544","0","0",,,,,,,,,,,,,,,,,,,,,,
"Grant Aviation","2023","82,230","242,212","628,145","38.6","2.94554298918","7.63887875471","65.28568648912","70.92628358628","185,386,888","2,422,911","17,523,517","82,230","242,212","628,145","38.6","2.94554298918","7.63887875471","65.28568648912","70.92628358628","185,386,888","2,422,911","17,523,517",,,,,,,,,,,,,,,,,,,,,,
"Gulf And Caribbean Cargo","2023","5,576","0","0",,"0","0","598.3324964132",,"126,179,832","43,464,500","0","1,897","0","0",,"0","0","808.34264628361",,"51,689,674","9,909,014","0","1,841","0","0",,"0","0","510.52036936448",,"37,293,100","16,463,973","0","1,838","0","0",,"0","0","469.53645266594",,"37,197,058","17,091,513","0"
"HARBOUR AIR LTD. D/B/A HARBOUR AIR SEAPLANES, WHISTLER AIR AND SALTSPRING AIR","2023","675","2,600","6,062","42.9","3.85185185185","8.98074074074","120.8962962963","120.86807692308","1,402,409","0","0",,,,,,,,,,,,"337","1,238","3,023","41","3.67359050445","8.9703264095","120.89614243323","120.86995153473","743,659","0","0","338","1,362","3,039","44.8","4.02958579882","8.99112426036","120.89644970414","120.86637298091","658,750","0","0"
"Hamilton Jetport Limited","2023","190","770","1,765","43.6","4.05263157895","9.28947368421","1,088.13157894737","1,094.67012987013","641,207","0","0","22","64","136","47.1","2.90909090909","6.18181818182","365.86363636364","409.1875","54,570","0","0","82","352","804","43.8","4.29268292683","9.80487804878","1,182.4512195122","1,186.59659090909","291,501","0","0","86","354","825","42.9","4.11627906977","9.59302325581","1,182.96511627907","1,127.19209039548","295,136","0","0"
"Haute Aviation","2023","69","244","897","27.2","3.53623188406","13","2,567.76811594203","3,419.55737704918","468,441","0","0","19","19","247","7.7","1","13","845.21052631579","954.84210526316","128,991","0","0","25","131","325","40.3","5.24","13","3,249.8","3,474.49618320611","169,725","0","0","25","94","325","28.9","3.76","13","3,194.88","3,841.18085106383","169,725","0","0"
"Hawaiian Airlines Inc.","2023","84,270","10,885,131","13,837,671","78.7","129.16970452118","164.20637237451","1,011.15386258455","1,548.99532720369","4,095,104,400","165,213,801","712,245","80,129","9,995,872","12,692,536","78.8","124.74724506733","158.40127793932","848.0179835016","1,313.76782085645","3,657,384,100","126,166,884","665,939","2,071","441,013","572,801","77","212.94688556253","276.58184451956","4,167.62626750362","4,188.68141755458","218,885,300","7,041,644","46,306","2,070","448,246","572,334","78.3","216.54396135266","276.48985507246","4,168.09130434783","4,197.46996515306","218,835,000","32,005,273","0"
"Hong Kong Airlines Limited","2023","18","1,388","1,600","86.8","77.11111111111","88.88888888889","2,139","2,139","394,556","0","0",,,,,,,,,,,,"9","694","800","86.8","77.11111111111","88.88888888889","2,139","2,139","197,278","0","0","9","694","800","86.8","77.11111111111","88.88888888889","2,139","2,139","197,278","0","0"
"Horizon Air","2023","70,415","4,383,515","5,351,540","81.9","62.25257402542","76","481.16380032663","486.95475457481","1,382,618,700","3,394,070","223,658","68,463","4,259,644","5,203,188","81.9","62.21819084761","76","483.10719658794","488.83832475202","1,344,270,300","3,386,804","223,176","977","62,769","74,252","84.5","64.24667349028","76","413.04094165814","423.17938791442","19,193,800","3,771","482","975","61,102","74,100","82.5","62.66871794872","76","412.9641025641","421.15948741449","19,154,600","3,495","0"
"Hyannis Air Service, Inc. dba Cape Air","2023","75,813","355,382","664,812","53.5","4.68761294237","8.7691029243","110.06132193687","114.23009325177","136,552,850","0","779,271","69,432","326,085","607,337","53.7","4.69646560664","8.74722030188","111.63621961055","115.66831040986","125,120,069","0","779,271","3,197","14,555","28,793","50.6","4.55270566156","9.00625586487","92.9827963716","98.56063208519","5,700,600","0","0","3,184","14,742","28,682","51.4","4.63002512563","9.00816582915","92.8665201005","97.88821055488","5,732,181","0","0"
"Hyperion Aviation Ltd. dba Hyperion","2023","26","60","276","21.7","2.30769230769","10.61538461538","2,978.19230769231","3,176.18333333333","113,148","0","0","9","8","68","11.8","0.88888888889","7.55555555556","1,407.22222222222","1,397.375","33,629","0","0","10","34","125","27.2","3.4","12.5","3,749.9","3,339.82352941177","46,643","0","0","7","18","83","21.7","2.57142857143","11.85714285714","3,895.57142857143","3,657.66666666667","32,876","0","0"
"Iberia Air Lines Of Spain","2023","7,532","1,987,071","2,312,216","85.9","263.81718003186","306.98566117897","4,294.6358204992","4,294.92992902619","752,912,747","77,919,722","0","9","2,665","2,834","94","296.11111111111","314.88888888889","559.44444444444","539.92607879925","880,100","0","0","3,763","987,544","1,154,800","85.5","262.43529099123","306.88280627159","4,300.32500664364","4,301.30463047722","376,138,658","22,008,246","0","3,760","996,862","1,154,582","86.3","265.12287234043","307.06968085106","4,297.88271276596","4,298.65340037036","375,893,989","55,911,476","0"
"Icelandair","2023","9,315","1,363,242","1,643,218","83","146.34911433172","176.40558239399","2,925.02608695652","2,931.235099124","478,772,664","50,816,245","0",,,,,,,,,,,,"4,674","668,838","819,634","81.6","143.09756097561","175.36029097133","2,929.86820710312","2,927.88648521765","241,006,492","14,084,620","0","4,641","694,404","823,584","84.3","149.62378797673","177.45830639948","2,920.14953673777","2,934.46042649524","237,766,172","36,731,625","0"
"Iliamna Air Taxi","2023","4,489","13,265","35,238","37.6","2.95500111383","7.8498552016","120.95433281354","187.89317753487","10,818,100","561,011","307,618","4,489","13,265","35,238","37.6","2.95500111383","7.8498552016","120.95433281354","187.89317753487","10,818,100","561,011","307,618",,,,,,,,,,,,,,,,,,,,,,
"International Jet Management GmbH","2023","97","320","1,218","26.3","3.29896907216","12.55670103093","3,511.43298969072","4,120.78125","512,850","0","0","23","18","78","23.1","0.78260869565","3.39130434783","800.95652173913","1,238.16666666667","32,372","0","0","35","165","534","30.9","4.71428571429","15.25714285714","4,204.02857142857","4,016.26666666667","227,688","0","0","39","137","606","22.6","3.51282051282","15.53846153846","4,488.35897435898","4,625.39416058394","252,790","0","0"
"Island Air Service","2023","11,716","20,075","67,238","29.9","1.71346876067","5.73898941618","40.19477637419","44.98231631382","14,498,898","1,225,288","295,537","11,716","20,075","67,238","29.9","1.71346876067","5.73898941618","40.19477637419","44.98231631382","14,498,898","1,225,288","295,537",,,,,,,,,,,,,,,,,,,,,,
"Island Wings Ltd. Dba Island Wings Charter","2023","518","2,012","4,215","47.7","3.88416988417","8.13706563707","233.53667953668","205.52982107356","883,194","2,948","0",,,,,,,,,,,,"260","1,051","2,114","49.7","4.04230769231","8.13076923077","253.02307692308","210.56612749762","446,943","2,948","0","258","961","2,101","45.7","3.72480620155","8.14341085271","213.8992248062","200.02185223725","436,251","0","0"
"Italia Transporto Aereo S.P.A DBA ITA S.P.A","2023","4,631","1,002,277","1,279,248","78.3","216.42776938026","276.23580220255","4,675.51824659901","4,736.27009399597","362,406,464","53,798,965","0",,,,,,,,,,,,"2,310","497,396","639,110","77.8","215.32294372294","276.670995671","4,675.37662337662","4,735.39102043442","177,978,203","15,448,491","0","2,321","504,881","640,138","78.9","217.52735889703","275.80267126239","4,675.65919862128","4,737.13613504965","184,428,261","38,350,474","0"
"J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit","2023","1,588","5,202","14,282","36.4","3.2758186398","8.99370277078","117.4798488665","122.6093810073","3,973,113","362,625","96,541","1,588","5,202","14,282","36.4","3.2758186398","8.99370277078","117.4798488665","122.6093810073","3,973,113","362,625","96,541",,,,,,,,,,,,,,,,,,,,,,
"Japan Air Lines Co. Ltd.","2023","11,075","1,884,562","2,415,064","78","170.16361173815","218.06446952596","5,235.54022573364","5,259.71399242901","830,988,663","240,984,897","0","4","322","744","43.3","80.5","186","109","109","201,520","15,820","0","5,530","917,913","1,205,779","76.1","165.98788426763","218.04321880651","5,236.37848101266","5,241.34956254024","398,471,418","63,431,752","0","5,541","966,327","1,208,541","80","174.39577693557","218.10882512182","5,238.40443963184","5,278.8746687198","432,315,725","177,537,325","0"
"Jazz Aviation LP","2023","70,269","4,015,478","5,174,092","77.6","57.14437376368","73.63264028234","486.03475216667","499.01439455029","1,495,962,961","0","0","1","70","76","92.1","70","76","230","230","22,750","0","0","35,068","2,026,094","2,582,198","78.5","57.77614919585","73.63402532223","486.19393749287","497.87310016218","746,590,650","0","0","35,200","1,989,314","2,591,818","76.8","56.51460227273","73.63119318182","485.8834375","500.1862561667","749,349,561","0","0"
"Jeju Air Co Ltd.","2023","3,574","501,583","671,916","74.6","140.34219362059","188.00111919418","1,885.09121432569","1,915.99707326604","100,432,320","0","0",,,,,,,,,,,,"1,787","251,615","335,958","74.9","140.80302182429","188.00111919418","1,885.09121432569","1,915.93703078115","50,388,724","0","0","1,787","249,968","335,958","74.4","139.8813654169","188.00111919418","1,885.09121432569","1,916.05751136145","50,043,596","0","0"
"Jet Story","2023","35","163","406","40.1","4.65714285714","11.6","3,493.4","3,602.37423312883","157,956","0","0","9","37","64","57.8","4.11111111111","7.11111111111","1,191.33333333333","535.35135135135","24,041","0","0","13","60","173","34.7","4.61538461538","13.30769230769","4,464","4,598.9","69,148","0","0","13","66","169","39.1","5.07692307692","13","4,116.53846153846","4,415.83333333333","64,767","0","0"
"JetBlue Airways","2023","348,369","42,813,129","52,741,230","81.2","122.89592070477","151.39472800393","1,226.62849162813","1,326.15702477621","13,841,768,400","6,621,093","0","270,625","32,195,756","39,514,762","81.5","118.96815150115","146.01297736721","1,146.30558891455","1,254.53638684552","10,360,217,200","5,984,445","0","38,893","5,248,189","6,615,808","79.3","134.93916643098","170.1027948474","1,506.47720669529","1,543.44965663394","1,741,492,200","311,471","0","38,851","5,369,184","6,610,660","81.2","138.19937710741","170.15417878562","1,505.98370698309","1,543.22684080114","1,740,059,000","325,177","0"
"JetClub AG","2023","19","36","248","14.5","1.89473684211","13.05263157895","3,771.89473684211","3,986.75","120,560","0","0",,,,,,,,,,,,"9","16","116","13.8","1.77777777778","12.88888888889","3,554.66666666667","4,018.5625","56,760","0","0","10","20","132","15.2","2","13.2","3,967.4","3,961.3","63,800","0","0"
"Jetflite Oy","2023","18","82","280","29.3","4.55555555556","15.55555555556","2,420.61111111111","2,131.63414634146","117,243","0","0","10","56","160","35","5.6","16","909.7","940.51785714286","67,279","0","0","3","10","44","22.7","3.33333333333","14.66666666667","4,061.33333333333","4,718.5","18,254","0","0","5","16","76","21.1","3.2","15.2","4,458","4,683.75","31,710","0","0"
"Jetstar Airways Pty Limited","2023","506","148,105","169,510","87.4","292.6976284585","335","5,247.05731225296","5,249.1079842004","36,699,316","2,427,748","0",,,,,,,,,,,,"253","76,238","84,755","90","301.33596837945","335","5,246.33596837945","5,248.1677378735","17,711,611","575,826","0","253","71,867","84,755","84.8","284.05928853755","335","5,247.77865612648","5,250.10541695076","18,987,705","1,851,922","0"
"Jin Air Co Ltd.","2023","1,434","243,714","293,019","83.2","169.9539748954","204.33682008368","1,909.76290097629","1,922.89406025095","48,791,541","0","0",,,,,,,,,,,,"717","122,711","146,729","83.6","171.1450488145","204.6429567643","1,909.76290097629","1,922.99225008353","24,566,743","0","0","717","121,003","146,290","82.7","168.76290097629","204.03068340307","1,909.76290097629","1,922.79448443427","24,224,798","0","0"
"Junipogo, LLC","2023","932","686","4,822","14.2","0.73605150215","5.17381974249","83.50965665236","70.17638483965","1,519,816","336,042","3","932","686","4,822","14.2","0.73605150215","5.17381974249","83.50965665236","70.17638483965","1,519,816","336,042","3",,,,,,,,,,,,,,,,,,,,,,
"KENAI AVIATION OPERATIONS, LLC","2023","5,980","20,588","49,654","41.5","3.44280936455","8.30334448161","76.30418060201","79.97726831164","12,333,556","13,045","0","5,980","20,588","49,654","41.5","3.44280936455","8.30334448161","76.30418060201","79.97726831164","12,333,556","13,045","0",,,,,,,,,,,,,,,,,,,,,,
"KaiserAir, Inc.","2023","284","8,824","18,956","46.5","31.07042253521","66.74647887324","2,056.33802816901","1,868.4842475068","10,864,720","0","0","274","8,453","18,300","46.2","30.8503649635","66.78832116788","2,097.90510948905","1,911.67762924406","10,475,120","0","0","5","232","328","70.7","46.4","65.6","992.6","992.73275862069","194,800","0","0","5","139","328","42.4","27.8","65.6","842.2","703.45323741007","194,800","0","0"
"Kalinin Aviation LLC d/b/a Alaska Seaplanes","2023","18,683","66,273","180,999","36.6","3.54723545469","9.68789808917","74.53444307659","73.34502738672","43,437,367","2,699,018","1,650,687","18,683","66,273","180,999","36.6","3.54723545469","9.68789808917","74.53444307659","73.34502738672","43,437,367","2,699,018","1,650,687",,,,,,,,,,,,,,,,,,,,,,
"Kalitta Air LLC","2023","10,599","0","0",,"0","0","3,796.54863666384",,"5,014,201,698","1,476,663,165","82,863,306","5,159","0","0",,"0","0","2,562.40724946695",,"2,448,076,546","624,331,139","77,121,959","2,480","0","0",,"0","0","5,237.11411290323",,"1,166,829,481","243,448,511","5,519,923","2,960","0","0",,"0","0","4,740.58006756757",,"1,399,295,671","608,883,515","221,424"
"Kalitta Charters II","2023","6,045","0","0",,"0","0","524.63159636063",,"254,302,582","101,324,012","0","5,292","0","0",,"0","0","510.17819349962",,"219,137,582","89,221,446","0","376","0","0",,"0","0","660.10106382979",,"17,560,000","7,403,389","0","377","0","0",,"0","0","592.40583554377",,"17,605,000","4,699,177","0"
"Katmai Air","2023","3,500","16,340","31,582","51.7","4.66857142857","9.02342857143","119.71371428571","114.37050183599","7,295,108","502,784","3,016","3,500","16,340","31,582","51.7","4.66857142857","9.02342857143","119.71371428571","114.37050183599","7,295,108","502,784","3,016",,,,,,,,,,,,,,,,,,,,,,
"Kenmore Air Harbor","2023","22,000","86,584","178,221","48.6","3.93563636364","8.10095454545","53.77227272727","61.91926914903","44,192,955","25,789","12","17,748","64,718","142,973","45.3","3.64649537976","8.05572458869","46.78972278567","54.77931950926","35,560,240","25,779","12","2,065","10,917","17,004","64.2","5.28668280872","8.23438256659","81.52978208232","82.98818356691","4,182,322","10","0","2,187","10,949","18,244","60","5.00640146319","8.34202103338","84.22816643804","83.11517033519","4,450,393","0","0"
"Kenya Airways PLC","2023","520","110,332","122,880","89.8","212.17692307692","236.30769230769","7,360","7,360","29,401,331","4,734,072","0",,,,,,,,,,,,"260","53,831","60,840","88.5","207.04230769231","234","7,360","7,360","15,586,724","3,286,088","0","260","56,501","62,040","91.1","217.31153846154","238.61538461538","7,360","7,360","13,814,607","1,447,984","0"
"Key Lime Air Corp dba Denver Air Connection","2023","14,877","222,750","458,774","48.6","14.97277676951","30.83780332056","297.62203401223","328.00538720539","118,734,671","0","0","14,877","222,750","458,774","48.6","14.97277676951","30.83780332056","297.62203401223","328.00538720539","118,734,671","0","0",,,,,,,,,,,,,,,,,,,,,,
"Klm Royal Dutch Airlines","2023","7,983","2,118,017","2,484,239","85.3","265.31592133283","311.19115620694","4,507.71865213579","4,513.94920012446","863,079,950","157,093,347","0",,,,,,,,,,,,"3,994","1,048,147","1,242,435","84.4","262.43039559339","311.07536304457","4,507.55508262394","4,512.53979260543","433,214,734","57,042,322","0","3,989","1,069,870","1,241,804","86.2","268.2050639258","311.3070945099","4,507.88242667335","4,515.3299905596","429,865,216","100,051,025","0"
"Korean Air Lines Co. Ltd.","2023","18,822","2,659,216","3,105,452","85.6","141.28232918925","164.99054298162","4,592.0707151206","5,936.0490324968","2,810,084,664","1,446,009,571","0","3,561","526","568","92.6","0.14771131705","0.15950575681","2,014.16933445661","1,778.73003802281","792,802,621","467,402,410","0","7,723","1,298,628","1,554,098","83.6","168.15071863266","201.22983296646","5,153.35556131037","5,919.59113772381","1,003,168,661","339,411,582","0","7,538","1,360,062","1,550,786","87.7","180.42743433271","205.72910586362","5,234.82793844521","5,953.3713551294","1,014,113,382","639,195,579","0"
"Kuwait Airways Corp.","2023","732","169,424","244,439","69.3","231.45355191257","333.93306010929","6,352","6,352","71,893,789","10,037,696","0",,,,,,,,,,,,"366","84,109","122,193","68.8","229.80601092896","333.8606557377","6,352","6,352","36,102,649","6,997,054","0","366","85,315","122,246","69.8","233.10109289617","334.00546448087","6,352","6,352","35,791,140","3,040,642","0"
"LATAM Airlines Group SA dba Lan Airlines","2023","6,776","748,936","929,014","80.6","110.52774498229","137.10360094451","3,586.21325265644","4,075.82532285803","757,172,163","348,919,662","0","221","123","304","40.5","0.55656108597","1.37556561086","1,303.76018099548","104","26,206,970","8,220,882","0","3,293","369,945","463,557","79.8","112.34284846644","140.7704221075","3,784.89857273003","4,075.30596440011","362,743,058","125,237,638","0","3,262","378,868","465,153","81.5","116.14592274678","142.59748620478","3,540.27559779277","4,077.62190789404","368,222,135","215,461,142","0"
"LIMA NY Corp d/b/a Fly The Whale","2023","6,869","44,634","58,150","76.8","6.49788906682","8.46556995196","47.16683651186","46.42528117579","11,655,350","0","0","6,789","44,294","57,506","77","6.52437766976","8.4704669318","45.44041832376","45.34133291191","11,508,050","0","0","40","154","323","47.7","3.85","8.075","190.925","182.92857142857","74,300","0","0","40","186","321","57.9","4.65","8.025","196.425","191.5376344086","73,000","0","0"
"Lacsa","2023","1,912","264,423","327,453","80.8","138.29654811715","171.2620292887","2,063.18253138075","2,068.81521652806","73,922,242","1,545,944","0",,,,,,,,,,,,"954","134,174","167,938","79.9","140.64360587002","176.035639413","2,062.95807127883","2,068.27127461356","37,763,519","111,097","0","958","130,249","159,515","81.7","135.95929018789","166.50835073069","2,063.40605427975","2,069.37554990825","36,158,723","1,434,847","0"
"Lan Colombia","2023","4,603","0","0",,"0","0","1,649.09580708234",,"544,466,432","322,021,238","0","264","0","0",,"0","0","1,150.67803030303",,"31,246,600","11,681,431","0","2,162","0","0",,"0","0","1,830.38205365402",,"256,484,800","87,637,673","0","2,177","0","0",,"0","0","1,529.50068902159",,"256,735,032","222,702,134","0"
"Lan Ecuador","2023","2,085","96,745","124,236","77.9","46.40047961631","59.58561151079","1,720.59136690648","1,787.5191896222","185,772,838","81,168,374","0","6","0","0",,"0","0","456.83333333333",,"690,800","479,724","0","1,034","46,802","62,118","75.3","45.26305609284","60.07543520309","1,659.86557059961","1,787.44132729371","89,470,310","11,394,921","0","1,045","49,943","62,118","80.4","47.79234449761","59.44306220096","1,787.93397129187","1,787.59215505677","95,611,728","69,293,729","0"
