"ID";"Airports";"Periods";"CrossCountryFlights_1";"TotalFlights_3";"TotalArrivalsFlights_6";"TotalDeparturesFlights_9";"TotalPassengers_12";"TotalArrivalsPassengers_15";"TotalDeparturesPassengers_18";"EuropeTotal_22";"NorthAmerica_33"
"2105";"A043595";"2015KW02";"    2666";"    1116";"     557";"     559";"   64295";"   31472";"   32823";"   64291";"       0"
"2106";"A043595";"2015MM07";"     810";"     383";"     194";"     189";"   25580";"   11537";"   14043";"   25579";"       0"
"2107";"A043595";"2015MM08";"     917";"     410";"     204";"     206";"   26824";"   14301";"   12523";"   26817";"       0"
"2108";"A043595";"2015MM09";"     759";"     365";"     184";"     181";"   22278";"   11326";"   10952";"   22276";"       2"
"2109";"A043595";"2015KW03";"    2486";"    1158";"     582";"     576";"   74682";"   37164";"   37518";"   74672";"       2"
"2110";"A043595";"2015MM10";"     765";"     401";"     201";"     200";"   22040";"   11493";"   10547";"   22040";"       0"
"2111";"A043595";"2015MM11";"     648";"     318";"     160";"     158";"    8562";"    4649";"    3913";"    8562";"       0"
"2112";"A043595";"2015MM12";"     576";"     307";"     153";"     154";"    5659";"    2686";"    2973";"    5659";"       0"
"2113";"A043595";"2015KW04";"    1989";"    1026";"     514";"     512";"   36261";"   18828";"   17433";"   36261";"       0"
"2114";"A043595";"2015JJ00";"    9004";"    4065";"    2031";"    2034";"  195180";"   97169";"   98011";"  195079";"       2"
"2115";"A043595";"2016MM01";"     521";"     294";"     149";"     145";"    4968";"    2485";"    2483";"    4966";"       0"
"2116";"A043595";"2016MM02";"     582";"     306";"     155";"     151";"    5891";"    2924";"    2967";"    5891";"       0"
"2117";"A043595";"2016MM03";"     977";"     386";"     194";"     192";"    8540";"    4193";"    4347";"    8539";"       0"
"2118";"A043595";"2016KW01";"    2080";"     986";"     498";"     488";"   19399";"    9602";"    9797";"   19396";"       0"
"2119";"A043595";"2016MM04";"     816";"     367";"     186";"     181";"   17161";"    8542";"    8619";"   17152";"       9"
"2120";"A043595";"2016MM05";"     790";"     343";"     172";"     171";"   20207";"   10441";"    9766";"   20207";"       0"
"2121";"A043595";"2016MM06";"     946";"     500";"     250";"     250";"   42144";"   21002";"   21142";"   42144";"       0"
"2122";"A043595";"2016KW02";"    2552";"    1210";"     608";"     602";"   79512";"   39985";"   39527";"   79503";"       9"
"2123";"A043595";"2016MM07";"     838";"     318";"     161";"     157";"   17441";"    8098";"    9343";"   17427";"       0"
"2124";"A043595";"2016MM08";"     713";"     283";"     145";"     138";"   18147";"    9620";"    8527";"   18147";"       0"
"2125";"A043595";"2016MM09";"     634";"     275";"     138";"     137";"   13600";"    6981";"    6619";"   13585";"       0"
"2126";"A043595";"2016KW03";"    2185";"     876";"     444";"     432";"   49188";"   24699";"   24489";"   49159";"       0"
"2127";"A043595";"2016MM10";"     663";"     312";"     157";"     155";"   15100";"    8218";"    6882";"   15098";"       0"
"2128";"A043595";"2016MM11";"     631";"     280";"     141";"     139";"    6486";"    3494";"    2992";"    6486";"       0"
"2129";"A043595";"2016MM12";"     572";"     267";"     136";"     131";"    6877";"    3975";"    2902";"    6877";"       0"
"2130";"A043595";"2016KW04";"    1866";"     859";"     434";"     425";"   28463";"   15687";"   12776";"   28461";"       0"
"2131";"A043595";"2016JJ00";"    8683";"    3931";"    1984";"    1947";"  176562";"   89973";"   86589";"  176519";"       9"
"2132";"A043595";"2017MM01";"     476";"     229";"     113";"     116";"    6095";"    3265";"    2830";"    6087";"       0"
"2133";"A043595";"2017MM02";"     580";"     284";"     143";"     141";"    5562";"    2660";"    2902";"    5560";"       0"
"2134";"A043595";"2017MM03";"     991";"     328";"     168";"     160";"    6847";"    3163";"    3684";"    6845";"       0"
"2135";"A043595";"2017KW01";"    2047";"     841";"     424";"     417";"   18504";"    9088";"    9416";"   18492";"       0"
"2136";"A043595";"2017MM04";"     788";"     341";"     165";"     176";"   15478";"    7366";"    8112";"   15475";"       0"
"2137";"A043595";"2017MM05";"     841";"     431";"     215";"     216";"   21751";"   10761";"   10990";"   21742";"       0"
"2138";"A043595";"2017MM06";"     852";"     386";"     188";"     198";"   18631";"    9394";"    9237";"   18624";"       0"
"2139";"A043595";"2017KW02";"    2481";"    1158";"     568";"     590";"   55860";"   27521";"   28339";"   55841";"       0"
"2140";"A043595";"2017MM07";"     872";"     407";"     209";"     198";"   22693";"   10567";"   12126";"   22686";"       0"
"2141";"A043595";"2017MM08";"     839";"     390";"     195";"     195";"   23054";"   12265";"   10789";"   23051";"       0"
"2142";"A043595";"2017MM09";"     824";"     440";"     221";"     219";"   21509";"   10474";"   11035";"   21502";"       0"
"2143";"A043595";"2017KW03";"    2535";"    1237";"     625";"     612";"   67256";"   33306";"   33950";"   67239";"       0"
"2144";"A043595";"2017MM10";"     749";"     411";"     208";"     203";"   18813";"   10203";"    8610";"   18807";"       0"
"2145";"A043595";"2017MM11";"     678";"     416";"     206";"     210";"    3222";"    1669";"    1553";"    3216";"       0"
"2146";"A043595";"2017MM12";"     563";"     356";"     180";"     176";"    3889";"    2314";"    1575";"    3889";"       0"
"2147";"A043595";"2017KW04";"    1990";"    1183";"     594";"     589";"   25924";"   14186";"   11738";"   25912";"       0"
"2148";"A043595";"2017JJ00";"    9053";"    4419";"    2211";"    2208";"  167544";"   84101";"   83443";"  167484";"       0"
"2149";"A043595";"2018MM01";"     535";"     291";"     145";"     146";"    3286";"    1727";"    1559";"    3285";"       0"
"2150";"A043595";"2018MM02";"     624";"     334";"     170";"     164";"    3022";"    1475";"    1547";"    3017";"       0"
"2151";"A043595";"2018MM03";"     920";"     371";"     190";"     181";"    5502";"    2854";"    2648";"    5500";"       0"
