"ID";"Airports";"Periods";"CrossCountryFlights_1";"TotalFlights_3";"TotalArrivalsFlights_6";"TotalDeparturesFlights_9";"TotalPassengers_12";"TotalArrivalsPassengers_15";"TotalDeparturesPassengers_18";"EuropeTotal_22";"NorthAmerica_33"
"178";"A045844";"2009MM06";"   42370";"   37849";"   18923";"   18926";" 4130139";" 2073981";" 2056158";" 2918724";"  499957"
"179";"A045844";"2009KW02";"  125960";"  112860";"   56419";"   56441";"12192401";" 6083020";" 6109381";" 8585407";" 1428828"
"180";"A045844";"2009MM07";"   44471";"   40351";"   20168";"   20183";" 4851476";" 2275515";" 2575961";" 3427550";"  530262"
"181";"A045844";"2009MM08";"   44140";"   39865";"   19932";"   19933";" 4811406";" 2553928";" 2257478";" 3364375";"  535393"
"182";"A045844";"2009MM09";"   42252";"   37832";"   18915";"   18917";" 4322719";" 2170571";" 2152148";" 3060047";"  481862"
"183";"A045844";"2009KW03";"  130863";"  118048";"   59015";"   59033";"13985601";" 7000014";" 6985587";" 9851972";" 1547517"
"184";"A045844";"2009MM10";"   41718";"   37867";"   18931";"   18936";" 4274814";" 2164348";" 2110466";" 2968577";"  463492"
"185";"A045844";"2009MM11";"   35808";"   32681";"   16355";"   16326";" 3355439";" 1695362";" 1660077";" 2246696";"  354377"
"186";"A045844";"2009MM12";"   33606";"   30910";"   15479";"   15431";" 3293039";" 1620230";" 1672809";" 2129192";"  383384"
"187";"A045844";"2009KW04";"  111132";"  101458";"   50765";"   50693";"10923292";" 5479940";" 5443352";" 7344465";" 1201253"
"188";"A045844";"2009JJ00";"  474512";"  429129";"  214542";"  214587";"46455743";"23280039";"23175704";"31921321";" 5203347"
"189";"A045844";"2010MM01";"   33656";"   31321";"   15634";"   15687";" 3114971";" 1579515";" 1535456";" 1963752";"  348767"
"190";"A045844";"2010MM02";"   32450";"   29857";"   14930";"   14927";" 3049444";" 1509935";" 1539509";" 2041702";"  286262"
"191";"A045844";"2010MM03";"   39349";"   34472";"   17239";"   17233";" 3697355";" 1878703";" 1818652";" 2481119";"  386175"
"192";"A045844";"2010KW01";"  105455";"   95650";"   47803";"   47847";" 9861770";" 4968153";" 4893617";" 6486573";" 1021204"
"193";"A045844";"2010MM04";"   33458";"   29353";"   14667";"   14686";" 3213665";" 1566719";" 1646946";" 2157027";"  370691"
"194";"A045844";"2010MM05";"   43040";"   38552";"   19286";"   19266";" 4447089";" 2239429";" 2207660";" 3156826";"  488874"
"195";"A045844";"2010MM06";"   43621";"   38344";"   19176";"   19168";" 4442139";" 2227879";" 2214260";" 3085676";"  528117"
"196";"A045844";"2010KW02";"  120119";"  106249";"   53129";"   53120";"12102893";" 6034027";" 6068866";" 8399529";" 1387682"
"197";"A045844";"2010MM07";"   46025";"   41196";"   20588";"   20608";" 5119203";" 2411334";" 2707869";" 3567233";"  561555"
"198";"A045844";"2010MM08";"   44925";"   40955";"   20490";"   20465";" 5058056";" 2688839";" 2369217";" 3535358";"  558618"
"199";"A045844";"2010MM09";"   43256";"   38706";"   19357";"   19349";" 4623783";" 2317813";" 2305970";" 3255060";"  504651"
"200";"A045844";"2010KW03";"  134206";"  120857";"   60435";"   60422";"14801042";" 7417986";" 7383056";"10357651";" 1624824"
"201";"A045844";"2010MM10";"   43576";"   39368";"   19683";"   19685";" 4666071";" 2364053";" 2302018";" 3263544";"  489656"
"202";"A045844";"2010MM11";"   37182";"   34145";"   17075";"   17070";" 3719403";" 1886706";" 1832697";" 2504810";"  380958"
"203";"A045844";"2010MM12";"   33260";"   31123";"   15588";"   15535";" 3440349";" 1699164";" 1741185";" 2209325";"  393625"
"204";"A045844";"2010KW04";"  114018";"  104636";"   52346";"   52290";"11825823";" 5949923";" 5875900";" 7977679";" 1264239"
"205";"A045844";"2010JJ00";"  473798";"  427392";"  213713";"  213679";"48591528";"24370089";"24221439";"33221432";" 5297949"
"206";"A045844";"2011MM01";"   36149";"   32992";"   16470";"   16522";" 3466587";" 1763962";" 1702625";" 2225510";"  360011"
"207";"A045844";"2011MM02";"   33703";"   30605";"   15302";"   15303";" 3251624";" 1610726";" 1640898";" 2219657";"  288556"
"208";"A045844";"2011MM03";"   40528";"   35822";"   17907";"   17915";" 3921482";" 1994598";" 1926884";" 2717875";"  386726"
"209";"A045844";"2011KW01";"  110380";"   99419";"   49679";"   49740";"10639693";" 5369286";" 5270407";" 7163042";" 1035293"
"210";"A045844";"2011MM04";"   43216";"   38703";"   19349";"   19354";" 4466794";" 2193871";" 2272923";" 3169194";"  456210"
"211";"A045844";"2011MM05";"   46867";"   42379";"   21197";"   21182";" 4916693";" 2485110";" 2431583";" 3608363";"  502854"
"212";"A045844";"2011MM06";"   45232";"   41139";"   20560";"   20579";" 4939490";" 2480462";" 2459028";" 3568565";"  546184"
"213";"A045844";"2011KW02";"  135315";"  122221";"   61106";"   61115";"14322977";" 7159443";" 7163534";"10346122";" 1505248"
"214";"A045844";"2011MM07";"   47644";"   43761";"   21871";"   21890";" 5627276";" 2668554";" 2958722";" 4044394";"  586694"
"215";"A045844";"2011MM08";"   47606";"   43822";"   21911";"   21911";" 5540569";" 2904186";" 2636383";" 3973627";"  580403"
"216";"A045844";"2011MM09";"   46189";"   41819";"   20915";"   20904";" 5128892";" 2586515";" 2542377";" 3704535";"  533424"
"217";"A045844";"2011KW03";"  141439";"  129402";"   64697";"   64705";"16296737";" 8159255";" 8137482";"11722556";" 1700521"
"218";"A045844";"2011MM10";"   45995";"   42073";"   21041";"   21032";" 5024163";" 2544469";" 2479694";" 3602947";"  507032"
"219";"A045844";"2011MM11";"   37811";"   34902";"   17455";"   17447";" 3807138";" 1925189";" 1881949";" 2623838";"  364080"
"220";"A045844";"2011MM12";"   36750";"   34313";"   17171";"   17142";" 3777434";" 1840313";" 1937121";" 2543922";"  378635"
"221";"A045844";"2011KW04";"  120556";"  111288";"   55667";"   55621";"12608735";" 6309971";" 6298764";" 8770707";" 1249747"
"222";"A045844";"2011JJ00";"  507690";"  462330";"  231149";"  231181";"53868142";"26997955";"26870187";"38002427";" 5490809"
"223";"A045844";"2012MM01";"   37172";"   34162";"   17064";"   17098";" 3675761";" 1878969";" 1796792";" 2444953";"  352218"
"224";"A045844";"2012MM02";"   35913";"   33042";"   16519";"   16523";" 3552136";" 1743950";" 1808186";" 2432008";"  307976"
"225";"A045844";"2012MM03";"   41494";"   37190";"   18577";"   18613";" 4177498";" 2128958";" 2048540";" 2895625";"  395584"
"226";"A045844";"2012KW01";"  114579";"  104394";"   52160";"   52234";"11405395";" 5751877";" 5653518";" 7772586";" 1055778"
"227";"A045844";"2012MM04";"   42400";"   38974";"   19493";"   19481";" 4568847";" 2241495";" 2327352";" 3251568";"  448685"
"228";"A045844";"2012MM05";"   46528";"   42648";"   21317";"   21331";" 5027940";" 2524338";" 2503602";" 3679671";"  507108"
"229";"A045844";"2012MM06";"   45546";"   41834";"   20910";"   20924";" 5078079";" 2535350";" 2542729";" 3655218";"  560976"
"230";"A045844";"2012KW02";"  134474";"  123456";"   61720";"   61736";"14674866";" 7301183";" 7373683";"10586457";" 1516769"
"231";"A045844";"2012MM07";"   48330";"   44593";"   22300";"   22293";" 5759003";" 2713559";" 3045444";" 4149748";"  595999"
"232";"A045844";"2012MM08";"   48001";"   44353";"   22192";"   22161";" 5671424";" 2971537";" 2699887";" 4043632";"  602428"
"233";"A045844";"2012MM09";"   45437";"   41799";"   20913";"   20886";" 5239374";" 2638183";" 2601191";" 3776436";"  543005"
"234";"A045844";"2012KW03";"  141768";"  130745";"   65405";"   65340";"16669801";" 8323279";" 8346522";"11969816";" 1741432"
"235";"A045844";"2012MM10";"   45218";"   42082";"   21045";"   21037";" 5100023";" 2585686";" 2514337";" 3663822";"  495683"
"236";"A045844";"2012MM11";"   37479";"   34833";"   17412";"   17421";" 3944666";" 1991565";" 1953101";" 2725085";"  362548"
"237";"A045844";"2012MM12";"   34929";"   33071";"   16555";"   16516";" 3858569";" 1880368";" 1978201";" 2568570";"  382972"
"238";"A045844";"2012KW04";"  117626";"  109986";"   55012";"   54974";"12903258";" 6457619";" 6445639";" 8957477";" 1241203"
"239";"A045844";"2012JJ00";"  508447";"  468581";"  234297";"  234284";"55653320";"27833958";"27819362";"39286336";" 5555182"
"240";"A045844";"2013MM01";"   35495";"   33360";"   16656";"   16704";" 3670053";" 1866007";" 1804046";" 2397295";"  354728"
"241";"A045844";"2013MM02";"   34301";"   31936";"   15977";"   15959";" 3563751";" 1765193";" 1798558";" 2446050";"  296501"
"242";"A045844";"2013MM03";"   40411";"   36854";"   18411";"   18443";" 4341934";" 2189392";" 2152542";" 3002942";"  401860"
"243";"A045844";"2013KW01";"  110207";"  102150";"   51044";"   51106";"11575738";" 5820592";" 5755146";" 7846287";" 1053089"
"244";"A045844";"2013MM04";"   43252";"   40217";"   20111";"   20106";" 4779391";" 2337110";" 2442281";" 3406408";"  468365"
"245";"A045844";"2013MM05";"   47538";"   44108";"   22038";"   22070";" 5440427";" 2742625";" 2697802";" 3999143";"  545695"
"246";"A045844";"2013MM06";"   46372";"   42758";"   21380";"   21378";" 5404974";" 2691770";" 2713204";" 3878158";"  595426"
"247";"A045844";"2013KW02";"  137162";"  127083";"   63529";"   63554";"15624792";" 7771505";" 7853287";"11283709";" 1609486"
"248";"A045844";"2013MM07";"   48804";"   45286";"   22637";"   22649";" 5934128";" 2804005";" 3130123";" 4275317";"  619607"
"249";"A045844";"2013MM08";"   48339";"   44963";"   22467";"   22496";" 5942981";" 3106009";" 2836972";" 4226967";"  641256"
"250";"A045844";"2013MM09";"   46776";"   43316";"   21662";"   21654";" 5477811";" 2757247";" 2720564";" 3980218";"  560859"
"251";"A045844";"2013KW03";"  143919";"  133565";"   66766";"   66799";"17354920";" 8667261";" 8687659";"12482502";" 1821722"
"252";"A045844";"2013MM10";"   46264";"   43084";"   21539";"   21545";" 5288928";" 2671780";" 2617148";" 3837144";"  510374"
"253";"A045844";"2013MM11";"   38601";"   35980";"   17992";"   17988";" 4099344";" 2070177";" 2029167";" 2870409";"  366656"
"254";"A045844";"2013MM12";"   37056";"   34930";"   17491";"   17439";" 4103791";" 2007376";" 2096415";" 2776539";"  401980"
"255";"A045844";"2013KW04";"  121921";"  113994";"   57022";"   56972";"13492063";" 6749333";" 6742730";" 9484092";" 1279010"
"256";"A045844";"2013JJ00";"  513209";"  476792";"  238361";"  238431";"58047513";"29008691";"29038822";"41096590";" 5763307"
"257";"A045844";"2014MM01";"   37193";"   34913";"   17426";"   17487";" 3937135";" 1993517";" 1943618";" 2614350";"  363828"
"258";"A045844";"2014MM02";"   35387";"   32831";"   16406";"   16425";" 3770429";" 1859121";" 1911308";" 2615846";"  302449"
"259";"A045844";"2014MM03";"   41687";"   38006";"   18995";"   19011";" 4489453";" 2277177";" 2212276";" 3147287";"  392758"
"260";"A045844";"2014KW01";"  114267";"  105750";"   52827";"   52923";"12197017";" 6129815";" 6067202";" 8377483";" 1059035"
"261";"A045844";"2014MM04";"   44148";"   41042";"   20512";"   20530";" 5075277";" 2465884";" 2609393";" 3674238";"  455864"
"262";"A045844";"2014MM05";"   48262";"   44684";"   22329";"   22355";" 5618850";" 2830908";" 2787942";" 4159715";"  541965"
"263";"A045844";"2014MM06";"   47657";"   43941";"   21973";"   21968";" 5642408";" 2848167";" 2794241";" 4143629";"  578705"
"264";"A045844";"2014KW02";"  140067";"  129667";"   64814";"   64853";"16336535";" 8144959";" 8191576";"11977582";" 1576534"
"265";"A045844";"2014MM07";"   49626";"   46402";"   23191";"   23211";" 6070119";" 2841054";" 3229065";" 4460368";"  585785"
"266";"A045844";"2014MM08";"   49253";"   46479";"   23230";"   23249";" 6261369";" 3272798";" 2988571";" 4532170";"  617721"
"267";"A045844";"2014MM09";"   48213";"   44912";"   22465";"   22447";" 5802996";" 2912901";" 2890095";" 4259359";"  578497"
"268";"A045844";"2014KW03";"  147092";"  137793";"   68886";"   68907";"18134484";" 9026753";" 9107731";"13251897";" 1782003"
"269";"A045844";"2014MM10";"   47610";"   44688";"   22338";"   22350";" 5609100";" 2840063";" 2769037";" 4123691";"  526499"
"270";"A045844";"2014MM11";"   39545";"   36888";"   18448";"   18440";" 4321292";" 2176743";" 2144549";" 3056363";"  384075"
"271";"A045844";"2014MM12";"   38181";"   36238";"   18149";"   18089";" 4334189";" 2127306";" 2206883";" 3000165";"  407761"
"272";"A045844";"2014KW04";"  125336";"  117814";"   58935";"   58879";"14264581";" 7144112";" 7120469";"10180219";" 1318335"
"273";"A045844";"2014JJ00";"  526762";"  491024";"  245462";"  245562";"60932617";"30445639";"30486978";"43787181";" 5735907"
"274";"A045844";"2015MM01";"   37288";"   35424";"   17679";"   17745";" 4067159";" 2053582";" 2013577";" 2744657";"  373946"
"275";"A045844";"2015MM02";"   36279";"   34013";"   17001";"   17012";" 3975652";" 1963234";" 2012418";" 2820468";"  308215"
"276";"A045844";"2015MM03";"   41870";"   38723";"   19371";"   19352";" 4651418";" 2361147";" 2290271";" 3315573";"  402484"
"277";"A045844";"2015KW01";"  115437";"  108160";"   54051";"   54109";"12694229";" 6377963";" 6316266";" 8880698";" 1084645"
"278";"A045844";"2015MM04";"   45402";"   42263";"   21126";"   21137";" 5318300";" 2592791";" 2725509";" 3899799";"  485299"
"279";"A045844";"2015MM05";"   49852";"   46525";"   23258";"   23267";" 6064935";" 3050274";" 3014661";" 4553124";"  579116"
"280";"A045844";"2015MM06";"   49435";"   45459";"   22731";"   22728";" 5971077";" 2983254";" 2987823";" 4421466";"  608987"
"281";"A045844";"2015KW02";"  144689";"  134247";"   67115";"   67132";"17354312";" 8626319";" 8727993";"12874389";" 1673402"
"282";"A045844";"2015MM07";"   51055";"   47783";"   23879";"   23904";" 6568499";" 3093605";" 3474894";" 4840842";"  626486"
"283";"A045844";"2015MM08";"   50728";"   47532";"   23767";"   23765";" 6606203";" 3459913";" 3146290";" 4806548";"  648241"
"284";"A045844";"2015MM09";"   49021";"   45886";"   22955";"   22931";" 6115762";" 3064261";" 3051501";" 4506062";"  603799"
"285";"A045844";"2015KW03";"  150804";"  141201";"   70601";"   70600";"19290464";" 9617779";" 9672685";"14153452";" 1878526"
"286";"A045844";"2015MM10";"   48396";"   45332";"   22645";"   22687";" 5940890";" 2997692";" 2943198";" 4370946";"  566462"
"287";"A045844";"2015MM11";"   40513";"   37962";"   18996";"   18966";" 4697506";" 2364328";" 2333178";" 3378124";"  400208"
"288";"A045844";"2015MM12";"   40542";"   38065";"   19047";"   19018";" 4657214";" 2292144";" 2365070";" 3276177";"  418629"
"289";"A045844";"2015KW04";"  129451";"  121359";"   60688";"   60671";"15295610";" 7654164";" 7641446";"11025247";" 1385299"
"290";"A045844";"2015JJ00";"  540381";"  504967";"  252455";"  252512";"64634615";"32276225";"32358390";"46933786";" 6021872"
"291";"A045844";"2016MM01";"   38706";"   36709";"   18340";"   18369";" 4487365";" 2263317";" 2224048";" 3115183";"  384878"
"292";"A045844";"2016MM02";"   39249";"   36774";"   18388";"   18386";" 4510127";" 2227376";" 2282751";" 3285911";"  330153"
"293";"A045844";"2016MM03";"   44730";"   41451";"   20720";"   20731";" 5249454";" 2646268";" 2603186";" 3822589";"  444948"
"294";"A045844";"2016KW01";"  122685";"  114934";"   57448";"   57486";"14246946";" 7136961";" 7109985";"10223683";" 1159979"
"295";"A045844";"2016MM04";"   48235";"   44736";"   22366";"   22370";" 5837141";" 2826735";" 3010406";" 4318761";"  537706"
"296";"A045844";"2016MM05";"   52417";"   48862";"   24431";"   24431";" 6408460";" 3261250";" 3147210";" 4860116";"  593176"
"297";"A045844";"2016MM06";"   49996";"   46549";"   23271";"   23278";" 6203153";" 3095920";" 3107233";" 4648888";"  603626"
"298";"A045844";"2016KW02";"  150648";"  140147";"   70068";"   70079";"18448754";" 9183905";" 9264849";"13827765";" 1734508"
"299";"A045844";"2016MM07";"   54325";"   50742";"   25362";"   25380";" 7074939";" 3325563";" 3749376";" 5271958";"  632783"
"300";"A045844";"2016MM08";"   54209";"   51075";"   25540";"   25535";" 7115921";" 3718176";" 3397745";" 5274328";"  642188"
"301";"A045844";"2016MM09";"   52167";"   48782";"   24380";"   24402";" 6572800";" 3299982";" 3272818";" 4913276";"  602732"
"302";"A045844";"2016KW03";"  160701";"  150599";"   75282";"   75317";"20763660";"10343721";"10419939";"15459562";" 1877703"
"303";"A045844";"2016MM10";"   51719";"   48802";"   24404";"   24398";" 6445707";" 3262872";" 3182835";" 4798974";"  574585"
"304";"A045844";"2016MM11";"   42990";"   40403";"   20205";"   20198";" 5162840";" 2594898";" 2567942";" 3744211";"  414007"
"305";"A045844";"2016MM12";"   42450";"   40357";"   20190";"   20167";" 5211659";" 2554056";" 2657603";" 3693658";"  448810"
"306";"A045844";"2016KW04";"  137159";"  129562";"   64799";"   64763";"16820206";" 8411826";" 8408380";"12236843";" 1437402"
"307";"A045844";"2016JJ00";"  571193";"  535242";"  267597";"  267645";"70279566";"35076413";"35203153";"51747853";" 6209592"
"308";"A045844";"2017MM01";"   41818";"   39687";"   19833";"   19854";" 5024395";" 2549832";" 2474563";" 3512887";"  415992"
"309";"A045844";"2017MM02";"   39643";"   37318";"   18660";"   18658";" 4787727";" 2353424";" 2434303";" 3465376";"  347868"
"310";"A045844";"2017MM03";"   47259";"   44013";"   22000";"   22013";" 5717190";" 2902551";" 2814639";" 4168287";"  465218"
"311";"A045844";"2017KW01";"  128720";"  121018";"   60493";"   60525";"15529312";" 7805807";" 7723505";"11146550";" 1229078"
"312";"A045844";"2017MM04";"   50101";"   46977";"   23488";"   23489";" 6525509";" 3189652";" 3335857";" 4817217";"  602264"
"313";"A045844";"2017MM05";"   54835";"   51232";"   25617";"   25615";" 6988685";" 3523496";" 3465189";" 5266504";"  652156"
"314";"A045844";"2017MM06";"   53066";"   49591";"   24778";"   24813";" 6904028";" 3464205";" 3439823";" 5208558";"  656140"
"315";"A045844";"2017KW02";"  158002";"  147800";"   73883";"   73917";"20418222";"10177353";"10240869";"15292279";" 1910560"
"316";"A045844";"2017MM07";"   55376";"   52112";"   26050";"   26062";" 7532873";" 3560737";" 3972136";" 5649595";"  673050"
"317";"A045844";"2017MM08";"   55506";"   52466";"   26227";"   26239";" 7608101";" 3944170";" 3663931";" 5702662";"  682603"
"318";"A045844";"2017MM09";"   52814";"   49841";"   24915";"   24926";" 7044350";" 3555704";" 3488646";" 5298309";"  631746"
"319";"A045844";"2017KW03";"  163696";"  154419";"   77192";"   77227";"22185324";"11060611";"11124713";"16650566";" 1987399"
"320";"A045844";"2017MM10";"   53107";"   50259";"   25126";"   25133";" 6975594";" 3517373";" 3458221";" 5228557";"  597935"
"321";"A045844";"2017MM11";"   44419";"   41970";"   20982";"   20988";" 5657189";" 2848886";" 2808303";" 4107484";"  448065"
"322";"A045844";"2017MM12";"   42194";"   40319";"   20168";"   20151";" 5437988";" 2656624";" 2781364";" 3831216";"  468071"
"323";"A045844";"2017KW04";"  139720";"  132548";"   66276";"   66272";"18070771";" 9022883";" 9047888";"13167257";" 1514071"
"324";"A045844";"2017JJ00";"  590138";"  555785";"  277844";"  277941";"76203629";"38066654";"38136975";"56256652";" 6641108"
"325";"A045844";"2018MM01";"   43441";"   41247";"   20616";"   20631";" 5410899";" 2735932";" 2674967";" 3805859";"  439651"
"326";"A045844";"2018MM02";"   41665";"   39014";"   19513";"   19501";" 5237331";" 2574649";" 2662682";" 3793051";"  376979"
"327";"A045844";"2018MM03";"   47967";"   44687";"   22333";"   22354";" 6151187";" 3111952";" 3039235";" 4455464";"  512131"
"328";"A045844";"2018KW01";"  133073";"  124948";"   62462";"   62486";"16799417";" 8422533";" 8376884";"12054374";" 1328761"
"329";"A045844";"2018MM04";"   50660";"   47362";"   23688";"   23674";" 6730695";" 3275700";" 3454995";" 4932741";"  632932"
"330";"A045844";"2018MM05";"   54882";"   51151";"   25563";"   25588";" 7261667";" 3666643";" 3595024";" 5456899";"  691282"
"331";"A045844";"2018MM06";"   53590";"   49764";"   24869";"   24895";" 7233806";" 3615253";" 3618553";" 5382900";"  723560"
"332";"A045844";"2018KW02";"  159132";"  148277";"   74120";"   74157";"21226168";"10557596";"10668572";"15772540";" 2047774"
"333";"A045844";"2018MM07";"   55894";"   52126";"   26069";"   26057";" 7691695";" 3621660";" 4070035";" 5689224";"  741425"
"334";"A045844";"2018MM08";"   55373";"   52326";"   26155";"   26171";" 7786633";" 4018842";" 3767791";" 5733377";"  755913"
"335";"A045844";"2018MM09";"   54154";"   50660";"   25335";"   25325";" 7294410";" 3665569";" 3628841";" 5429424";"  696027"
"336";"A045844";"2018KW03";"  165421";"  155112";"   77559";"   77553";"22772738";"11306071";"11466667";"16852025";" 2193365"
"337";"A045844";"2018MM10";"   54754";"   51475";"   25733";"   25742";" 7262779";" 3655800";" 3606979";" 5388538";"  660868"
"338";"A045844";"2018MM11";"   45353";"   42585";"   21290";"   21295";" 5802548";" 2916663";" 2885885";" 4174366";"  497467"
"339";"A045844";"2018MM12";"   44363";"   42149";"   21078";"   21071";" 5742668";" 2802933";" 2939735";" 4043822";"  519102"
"340";"A045844";"2018KW04";"  144470";"  136209";"   68101";"   68108";"18807995";" 9375396";" 9432599";"13606726";" 1677437"
"341";"A045844";"2018JJ00";"  602096";"  564546";"  282242";"  282304";"79606318";"39661596";"39944722";"58285665";" 7247337"
"342";"A045844";"2019MM01";"   43492";"   41285";"   20634";"   20651";" 5495052";" 2777666";" 2717386";" 3839988";"  462521"
"343";"A045844";"2019MM02";"   41972";"   39204";"   19595";"   19609";" 5352301";" 2638163";" 2714138";" 3866027";"  401645"
"344";"A045844";"2019MM03";"   47712";"   44649";"   22326";"   22323";" 6270788";" 3170209";" 3100579";" 4547261";"  543422"
"345";"A045844";"2019KW01";"  133176";"  125138";"   62555";"   62583";"17118141";" 8586038";" 8532103";"12253276";" 1407588"
"346";"A045844";"2019MM04";"   51400";"   47934";"   23965";"   23969";" 6926059";" 3372752";" 3553307";" 5094415";"  660798"
"347";"A045844";"2019MM05";"   55561";"   51719";"   25851";"   25868";" 7396960";" 3709789";" 3687171";" 5575054";"  726649"
"348";"A045844";"2019MM06";"   54113";"   50135";"   25069";"   25066";" 7471334";" 3755096";" 3716238";" 5581133";"  762961"
"349";"A045844";"2019KW02";"  161074";"  149788";"   74885";"   74903";"21794353";"10837637";"10956716";"16250602";" 2150408"
"350";"A045844";"2019MM07";"   55398";"   51786";"   25885";"   25901";" 7730263";" 3633107";" 4097156";" 5714888";"  777044"
"351";"A045844";"2019MM08";"   55321";"   52127";"   26055";"   26072";" 7859458";" 4067875";" 3791583";" 5796841";"  793609"
"352";"A045844";"2019MM09";"   54336";"   51091";"   25557";"   25534";" 7486440";" 3755429";" 3731011";" 5597732";"  736288"
"353";"A045844";"2019KW03";"  165055";"  155004";"   77497";"   77507";"23076161";"11456411";"11619750";"17109461";" 2306941"
"354";"A045844";"2019MM10";"   54417";"   51135";"   25573";"   25562";" 7354352";" 3708483";" 3645869";" 5481390";"  684886"
"355";"A045844";"2019MM11";"   44911";"   42195";"   21088";"   21107";" 5885771";" 2957800";" 2927971";" 4237242";"  504089"
"356";"A045844";"2019MM12";"   45000";"   42771";"   21395";"   21376";" 5938523";" 2900912";" 3037611";" 4210901";"  550494"
