Carrier,Year,Total Departures,Total Passengers,Total Seats,Total Load Factor (%),Total Passengers/Flight,Total Seats/Flight,Total Distance/Flight (sm),Total Distance/Passenger (sm),Total Payload (lbs),Total Freight (lbs),Total Mail (lbs),Domestic Departures,Domestic Passengers,Domestic Seats,Domestic Load Factor (%),Domestic Passengers/Flight,Domestic Seats/Flight,Domestic Distance/Flight (sm),Domestic Distance/Passenger (sm),Domestic Payload (lbs),Domestic Freight (lbs),Domestic Mail (lbs),Outbound International Departures,Outbound International Passengers,Outbound International Seats,Outbound International Load Factor (%),Outbound International Passengers/Flight,Outbound International Seats/Flight,Outbound International Distance/Flight (sm),Outbound International Distance/Passenger (sm),Outbound International Payload (lbs),Outbound International Freight (lbs),Outbound International Mail (lbs),Inbound International Departures,Inbound International Passengers,Inbound International Seats,Inbound International Load Factor (%),Inbound International Passengers/Flight,Inbound International Seats/Flight,Inbound International Distance/Flight (sm),Inbound International Distance/Passenger (sm),Inbound International Payload (lbs),Inbound International Freight (lbs),Inbound International Mail (lbs)
Katmai Air,2023,"3,500.00","16,340.00","31,582.00",51.7,4.67,9.02,119.71,114.37,"7,295,108.00","502,784.00","3,016.00","3,500.00","16,340.00","31,582.00",51.7,4.67,9.02,119.71,114.37,"7,295,108.00","502,784.00","3,016.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenmore Air Harbor,2023,"22,000.00","86,584.00","178,221.00",48.6,3.94,8.1,53.77,61.92,"44,192,955.00","25,789.00",12,"17,748.00","64,718.00","142,973.00",45.3,3.65,8.06,46.79,54.78,"35,560,240.00","25,779.00",12,"2,065.00","10,917.00","17,004.00",64.2,5.29,8.23,81.53,82.99,"4,182,322.00",10,0,"2,187.00","10,949.00","18,244.00",60,5.01,8.34,84.23,83.12,"4,450,393.00",0,0
Kenya Airways PLC,2023,520,"110,332.00","122,880.00",89.8,212.18,236.31,"7,360.00","7,360.00","29,401,331.00","4,734,072.00",0,0,0,0,0,0,0,0,0,0,0,0,260,"53,831.00","60,840.00",88.5,207.04,234,"7,360.00","7,360.00","15,586,724.00","3,286,088.00",0,260,"56,501.00","62,040.00",91.1,217.31,238.62,"7,360.00","7,360.00","13,814,607.00","1,447,984.00",0
Key Lime Air Corp dba Denver Air Connection,2023,"14,877.00","222,750.00","458,774.00",48.6,14.97,30.84,297.62,328.01,"118,734,671.00",0,0,"14,877.00","222,750.00","458,774.00",48.6,14.97,30.84,297.62,328.01,"118,734,671.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klm Royal Dutch Airlines,2023,"7,983.00","2,118,017.00","2,484,239.00",85.3,265.32,311.19,"4,507.72","4,513.95","863,079,950.00","157,093,347.00",0,0,0,0,0,0,0,0,0,0,0,0,"3,994.00","1,048,147.00","1,242,435.00",84.4,262.43,311.08,"4,507.56","4,512.54","433,214,734.00","57,042,322.00",0,"3,989.00","1,069,870.00","1,241,804.00",86.2,268.21,311.31,"4,507.88","4,515.33","429,865,216.00","100,051,025.00",0
Korean Air Lines Co. Ltd.,2023,"18,822.00","2,659,216.00","3,105,452.00",85.6,141.28,164.99,"4,592.07","5,936.05","2,810,084,664.00","1,446,009,571.00",0,"3,561.00",526,568,92.6,0.15,0.16,"2,014.17","1,778.73","792,802,621.00","467,402,410.00",0,"7,723.00","1,298,628.00","1,554,098.00",83.6,168.15,201.23,"5,153.36","5,919.59","1,003,168,661.00","339,411,582.00",0,"7,538.00","1,360,062.00","1,550,786.00",87.7,180.43,205.73,"5,234.83","5,953.37","1,014,113,382.00","639,195,579.00",0
Kuwait Airways Corp.,2023,732,"169,424.00","244,439.00",69.3,231.45,333.93,"6,352.00","6,352.00","71,893,789.00","10,037,696.00",0,0,0,0,0,0,0,0,0,0,0,0,366,"84,109.00","122,193.00",68.8,229.81,333.86,"6,352.00","6,352.00","36,102,649.00","6,997,054.00",0,366,"85,315.00","122,246.00",69.8,233.1,334.01,"6,352.00","6,352.00","35,791,140.00","3,040,642.00",0
LATAM Airlines Group SA dba Lan Airlines,2023,"6,776.00","748,936.00","929,014.00",80.6,110.53,137.1,"3,586.21","4,075.83","757,172,163.00","348,919,662.00",0,221,123,304,40.5,0.56,1.38,"1,303.76",104,"26,206,970.00","8,220,882.00",0,"3,293.00","369,945.00","463,557.00",79.8,112.34,140.77,"3,784.90","4,075.31","362,743,058.00","125,237,638.00",0,"3,262.00","378,868.00","465,153.00",81.5,116.15,142.6,"3,540.28","4,077.62","368,222,135.00","215,461,142.00",0
LIMA NY Corp d/b/a Fly The Whale,2023,"6,869.00","44,634.00","58,150.00",76.8,6.5,8.47,47.17,46.43,"11,655,350.00",0,0,"6,789.00","44,294.00","57,506.00",77,6.52,8.47,45.44,45.34,"11,508,050.00",0,0,40,154,323,47.7,3.85,8.08,190.93,182.93,"74,300.00",0,0,40,186,321,57.9,4.65,8.03,196.43,191.54,"73,000.00",0,0
Lacsa,2023,"1,912.00","264,423.00","327,453.00",80.8,138.3,171.26,"2,063.18","2,068.82","73,922,242.00","1,545,944.00",0,0,0,0,0,0,0,0,0,0,0,0,954,"134,174.00","167,938.00",79.9,140.64,176.04,"2,062.96","2,068.27","37,763,519.00","111,097.00",0,958,"130,249.00","159,515.00",81.7,135.96,166.51,"2,063.41","2,069.38","36,158,723.00","1,434,847.00",0
Lan Colombia,2023,"4,603.00",0,0,0,0,0,"1,649.10",0,"544,466,432.00","322,021,238.00",0,264,0,0,0,0,0,"1,150.68",0,"31,246,600.00","11,681,431.00",0,"2,162.00",0,0,0,0,0,"1,830.38",0,"256,484,800.00","87,637,673.00",0,"2,177.00",0,0,0,0,0,"1,529.50",0,"256,735,032.00","222,702,134.00",0
Lan Ecuador,2023,"2,085.00","96,745.00","124,236.00",77.9,46.4,59.59,"1,720.59","1,787.52","185,772,838.00","81,168,374.00",0,6,0,0,0,0,0,456.83,0,"690,800.00","479,724.00",0,"1,034.00","46,802.00","62,118.00",75.3,45.26,60.08,"1,659.87","1,787.44","89,470,310.00","11,394,921.00",0,"1,045.00","49,943.00","62,118.00",80.4,47.79,59.44,"1,787.93","1,787.59","95,611,728.00","69,293,729.00",0
Lan Peru Airlines,2023,"3,230.00","638,151.00","748,617.00",85.2,197.57,231.77,"3,234.52","3,225.29","290,425,650.00","61,456,961.00",0,5,568,699,81.3,113.6,139.8,775.2,104,"452,954.00","115,726.00",0,"1,612.00","316,305.00","373,145.00",84.8,196.22,231.48,"3,237.10","3,224.65","142,959,551.00","12,441,294.00",0,"1,613.00","321,278.00","374,773.00",85.7,199.18,232.35,"3,239.57","3,231.43","147,013,145.00","48,899,941.00",0
London Air Services Limited,2023,541,"1,690.00","5,213.00",32.4,3.12,9.64,970.22,"1,085.64","1,826,212.00",0,0,102,258,981,26.3,2.53,9.62,577.44,717.66,"351,989.00",0,0,218,701,"2,099.00",33.4,3.22,9.63,"1,164.85","1,247.35","727,469.00",0,0,221,731,"2,133.00",34.3,3.31,9.65,959.51,"1,060.45","746,754.00",0,0
Lufthansa German Airlines,2023,"19,762.00","4,863,438.00","5,901,361.00",82.4,246.1,298.62,"4,647.26","4,693.08","2,085,319,159.00","390,833,537.00",0,73,"9,231.00","11,007.00",83.9,126.45,150.78,619.62,430.15,"12,032,662.00","3,347,403.00",0,"9,831.00","2,392,640.00","2,940,701.00",81.4,243.38,299.13,"4,685.51","4,704.96","1,036,280,391.00","144,764,511.00",0,"9,858.00","2,461,567.00","2,949,653.00",83.5,249.7,299.21,"4,638.93","4,697.53","1,037,006,106.00","242,721,623.00",0
Luxaviation EA,2023,23,104,450,23.1,4.52,19.57,"3,965.70","3,763.49","90,089.00",0,0,0,0,0,0,0,0,0,0,0,0,0,12,49,238,20.6,4.08,19.83,"3,880.75","3,900.18","47,647.00",0,0,11,55,212,25.9,5,19.27,"4,058.36","3,641.71","42,442.00",0,0
Lynden Air Cargo Airlines,2023,"3,095.00",0,0,0,0,0,498.92,0,"145,514,041.00","40,270,606.00","23,277,806.00","2,950.00",0,0,0,0,0,486.16,0,"138,677,549.00","38,665,331.00","23,277,806.00",75,0,0,0,0,0,748.31,0,"3,528,102.00","733,213.00",0,70,0,0,0,0,0,769.41,0,"3,308,390.00","872,062.00",0
"Maritime Helicopters, Inc.",2023,"3,367.00","3,760.00","20,245.00",18.6,1.12,6.01,29.54,21.38,"14,846,202.00","239,625.00",0,"3,367.00","3,760.00","20,245.00",18.6,1.12,6.01,29.54,21.38,"14,846,202.00","239,625.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinair Holland N.V.,2023,"1,034.00",0,0,0,0,0,"3,160.81",0,"271,032,311.00","156,710,714.00",0,3,0,0,0,0,0,665.67,0,"799,999.00","27,731.00",0,512,0,0,0,0,0,"3,644.51",0,"134,190,835.00","68,686,208.00",0,519,0,0,0,0,0,"2,698.05",0,"136,041,477.00","87,996,775.00",0
Mesa Airlines Inc.,2023,"102,395.00","6,214,266.00","7,551,710.00",82.3,60.69,73.75,544.22,550.85,"1,959,919,905.00","51,497,003.00",0,"89,454.00","5,391,450.00","6,572,856.00",82,60.27,73.48,528.74,535.51,"1,726,847,185.00","51,497,003.00",0,"6,478.00","412,326.00","490,000.00",84.1,63.65,75.64,651.57,651.95,"116,669,020.00",0,0,"6,463.00","410,490.00","488,854.00",84,63.51,75.64,650.93,650.76,"116,403,700.00",0,0
Mjet GmbH,2023,22,59,273,21.6,2.68,12.41,"3,284.59","3,464.29","127,785.00",0,0,6,15,65,23.1,2.5,10.83,"1,162.33","1,278.47","30,425.00",0,0,8,25,104,24,3.13,13,"4,230.88","4,239.84","48,680.00",0,0,8,19,104,18.3,2.38,13,"3,930.00","4,169.47","48,680.00",0,0
NEW PACIFIC AIRLINES,2023,"11,167.00","197,137.00","377,343.00",52.2,17.65,33.79,250.23,280.78,"95,818,384.00","674,333.00","859,954.00","11,167.00","197,137.00","377,343.00",52.2,17.65,33.79,250.23,280.78,"95,818,384.00","674,333.00","859,954.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Air Cargo Group Inc d/ba National Airlines,2023,"1,550.00","10,602.00","29,869.00",35.5,6.84,19.27,"3,236.11","1,347.60","362,654,800.00","87,272,843.00",0,640,"6,692.00","20,191.00",33.1,10.46,31.55,"2,302.38","1,204.85","147,110,200.00","28,902,287.00",0,427,"1,945.00","5,089.00",38.2,4.56,11.92,"4,017.41","1,653.48","100,748,800.00","17,756,587.00",0,483,"1,965.00","4,589.00",42.8,4.07,9.5,"3,782.63","1,531.00","114,795,800.00","40,613,969.00",0
National Aviation Company of India Limited d/b/a Air India,2023,"4,614.00","1,179,418.00","1,363,544.00",86.5,255.62,295.52,"7,717.95","7,698.67","513,701,320.00","49,879,149.00",0,0,0,0,0,0,0,0,0,0,0,0,"2,305.00","590,984.00","681,730.00",86.7,256.39,295.76,"7,717.66","7,697.30","257,790,500.00","22,844,329.00",0,"2,309.00","588,434.00","681,814.00",86.3,254.84,295.29,"7,718.23","7,700.05","255,910,820.00","27,034,820.00",0
"Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air",2023,"3,190.00","18,471.00","27,611.00",66.9,5.79,8.66,181.53,181.67,"4,685,459.00",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,584.00","9,038.00","13,600.00",66.5,5.71,8.59,173.16,174.1,"2,325,796.00",0,0,"1,606.00","9,433.00","14,011.00",67.3,5.87,8.72,189.78,188.92,"2,359,663.00",0,0
Neos S.P.A,2023,274,"55,532.00","97,270.00",57.1,202.67,355,"3,995.00","3,995.00","33,154,000.00","5,824,768.00",0,0,0,0,0,0,0,0,0,0,0,0,137,"25,786.00","48,635.00",53,188.22,355,"3,995.00","3,995.00","16,577,000.00","2,001,294.00",0,137,"29,746.00","48,635.00",61.2,217.12,355,"3,995.00","3,995.00","16,577,000.00","3,823,474.00",0
New England Airlines Inc.,2023,"6,696.00","26,755.00","50,116.00",53.4,4,7.48,17,17,"9,999,200.00","30,047.00",0,"6,696.00","26,755.00","50,116.00",53.4,4,7.48,17,17,"9,999,200.00","30,047.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nippon Cargo Airlines,2023,"3,352.00",0,0,0,0,0,"3,599.95",0,"775,197.00","488,792.00",0,"1,375.00",0,0,0,0,0,"2,713.04",0,"322,921.00","199,202.00",0,989,0,0,0,0,0,"4,267.30",0,"215,724.00","104,073.00",0,988,0,0,0,0,0,"4,166.24",0,"236,552.00","185,517.00",0
Nolinor Aviation,2023,58,"2,222.00","3,946.00",56.3,38.31,68.03,808.67,"1,055.77","1,288,584.00","49,229.00",0,2,1,167,0.6,0.5,83.5,112.5,55,"41,061.00",40,0,28,"1,052.00","1,981.00",53.1,37.57,70.75,925.79,"1,155.52","634,768.00","31,133.00",0,28,"1,169.00","1,798.00",65,41.75,64.21,741.29,966.86,"612,755.00","18,056.00",0
"Norse Atlantic Airways,AS",2023,"1,912.00","432,268.00","646,256.00",66.9,226.08,338,"4,043.63","4,048.54","385,859,781.00","22,725,640.00",0,2,0,676,0,0,338,62,0,"565,096.00",0,0,954,"216,182.00","322,452.00",67,226.61,338,"4,048.85","4,049.37","189,785,667.00","3,426,762.00",0,956,"216,086.00","323,128.00",66.9,226.03,338,"4,046.74","4,047.72","195,509,018.00","19,298,878.00",0
Norse Atlantic UK Ltd,2023,"1,770.00","438,992.00","597,584.00",73.5,248.02,337.62,"4,190.18","4,182.62","273,771,795.00","10,109,324.00",0,1,290,338,85.8,290,338,46,46,"57,994.00",0,0,885,"226,614.00","298,792.00",75.8,256.06,337.62,"4,193.26","4,182.30","134,804,843.00","2,077,049.00",0,884,"212,088.00","298,454.00",71.1,239.92,337.62,"4,191.79","4,188.62","138,908,958.00","8,032,275.00",0
Northern Air Cargo Inc.,2023,"7,833.00",0,0,0,0,0,"1,071.09",0,"796,584,288.00","257,736,821.00","50,290,646.00","5,374.00",0,0,0,0,0,967.49,0,"398,226,288.00","87,916,200.00","50,290,646.00","1,235.00",0,0,0,0,0,"1,253.66",0,"200,070,000.00","89,722,967.00",0,"1,224.00",0,0,0,0,0,"1,341.74",0,"198,288,000.00","80,097,654.00",0
Omni Air International LLC,2023,568,"37,818.00","129,203.00",29.3,66.58,227.47,"2,627.52","2,850.51","47,668,100.00",0,0,255,"13,115.00","68,385.00",19.2,51.43,268.18,"1,336.68","1,825.75","21,969,302.00",0,0,153,"13,168.00","29,622.00",44.5,86.07,193.61,"3,735.50","3,367.99","12,546,231.00",0,0,160,"11,535.00","31,196.00",37,72.09,194.98,"3,625.29","3,424.90","13,152,567.00",0,0
"PM Air, LLC",2023,"5,402.00","40,917.00","54,058.00",75.7,7.57,10.01,70,70,"11,890,200.00",0,0,"5,402.00","40,917.00","54,058.00",75.7,7.57,10.01,70,70,"11,890,200.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSA Airlines Inc.,2023,"197,269.00","11,603,256.00","14,252,237.00",81.4,58.82,72.25,427.98,430.55,"4,091,698,910.00","704,577.00",3,"192,195.00","11,298,033.00","13,884,547.00",81.4,58.78,72.24,424.24,426.37,"3,986,021,130.00","703,462.00",3,"2,541.00","153,552.00","184,138.00",83.4,60.43,72.47,569.5,581.79,"52,923,590.00","1,015.00",0,"2,533.00","151,671.00","183,552.00",82.6,59.88,72.46,569.53,588.93,"52,754,190.00",100,0
"Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",2023,"27,059.00","34,752.00","147,860.00",23.5,1.28,5.46,43.11,42.5,"30,065,998.00","377,514.00","3,325,271.00","27,059.00","34,752.00","147,860.00",23.5,1.28,5.46,43.11,42.5,"30,065,998.00","377,514.00","3,325,271.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pathfinder Aviation,2023,92,379,828,45.8,4.12,9,134,134,"138,000.00","11,267.00",0,92,379,828,45.8,4.12,9,134,134,"138,000.00","11,267.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippine Airlines Inc.,2023,"3,710.00","1,025,143.00","1,198,179.00",85.6,276.32,322.96,"6,005.41","6,521.73","382,000,084.00","38,436,452.00",0,27,"6,841.00","8,498.00",80.5,253.37,314.74,"2,541.00","2,541.32","2,759,632.00","77,078.00",0,"1,828.00","504,573.00","590,649.00",85.4,276.02,323.11,"6,006.30","6,522.42","172,831,690.00","9,725,596.00",0,"1,855.00","513,729.00","599,032.00",85.8,276.94,322.93,"6,054.96","6,574.05","206,408,762.00","28,633,778.00",0
Piedmont Airlines,2023,"104,456.00","4,343,308.00","5,222,793.00",83.2,41.58,50,292.78,294.71,"1,380,437,300.00","429,311.00",3,"98,651.00","4,105,688.00","4,932,543.00",83.2,41.62,50,287.76,289.82,"1,303,705,450.00","424,631.00",3,"2,903.00","118,487.00","145,150.00",81.6,40.82,50,377.72,378.47,"38,372,550.00","2,900.00",0,"2,902.00","119,133.00","145,100.00",82.1,41.05,50,378.48,380.16,"38,359,300.00","1,780.00",0
Polar Air Cargo Airways,2023,"5,902.00",0,0,0,0,0,"4,648.51",0,"2,180,226,506.00","1,500,124,404.00",0,"2,021.00",0,0,0,0,0,"2,330.82",0,"698,112,107.00","497,052,433.00",0,"1,938.00",0,0,0,0,0,"6,135.65",0,"738,921,019.00","339,851,903.00",0,"1,943.00",0,0,0,0,0,"5,575.93",0,"743,193,380.00","663,220,068.00",0
"Polaris Aviation Solutions, LLC",2023,9,59,142,41.5,6.56,15.78,"2,765.33","3,151.14","40,500.00",0,0,3,9,44,20.5,3,14.67,393.67,317,"13,500.00",0,0,3,25,49,51,8.33,16.33,"3,973.00","3,703.72","13,500.00",0,0,3,25,49,51,8.33,16.33,"3,929.33","3,618.84","13,500.00",0,0
Polskie Linie Lotnicze,2023,"3,338.00","774,714.00","905,649.00",85.5,232.09,271.31,"4,734.38","4,716.60","336,420,477.00","52,202,052.00",0,0,0,0,0,0,0,0,0,0,0,0,"1,669.00","374,805.00","452,842.00",82.8,224.57,271.33,"4,734.47","4,713.97","171,875,946.00","25,688,175.00",0,"1,669.00","399,909.00","452,807.00",88.3,239.61,271.3,"4,734.28","4,719.06","164,544,531.00","26,513,877.00",0
Pontair Ltd.,2023,56,212,722,29.4,3.79,12.89,"2,634.48","2,804.50","159,316.00",0,0,19,65,258,25.2,3.42,13.58,909.11,"1,071.77","59,640.00",0,0,13,45,149,30.2,3.46,11.46,"3,200.77","3,390.31","29,829.00",0,0,24,102,315,32.4,4.25,13.13,"3,693.67","3,650.25","69,847.00",0,0
"Porter Airlines, Inc.",2023,"13,851.00","801,250.00","1,035,857.00",77.4,57.85,74.79,402.25,423.01,"259,473,885.00",478,0,0,0,0,0,0,0,0,0,0,0,0,"6,895.00","398,709.00","513,425.00",77.7,57.83,74.46,402.91,418.42,"128,950,264.00",412,0,"6,956.00","402,541.00","522,432.00",77.1,57.87,75.11,401.59,427.55,"130,523,621.00",66,0
Qantas Airways Ltd.,2023,"5,137.00","937,662.00","1,183,020.00",79.3,182.53,230.29,"6,679.62","7,439.04","452,883,833.00","189,304,863.00",0,635,378,470,80.4,0.6,0.74,"2,375.31","2,519.36","139,847,214.00","82,125,089.00",0,"2,266.00","461,593.00","588,435.00",78.4,203.7,259.68,"7,301.31","7,432.11","150,120,777.00","42,307,731.00",0,"2,236.00","475,691.00","594,115.00",80.1,212.74,265.7,"7,271.97","7,449.67","162,915,842.00","64,872,043.00",0
Qatar Airways (Q.C.S.C),2023,"9,480.00","2,878,520.00","3,213,642.00",89.6,303.64,338.99,"7,359.41","7,376.34","1,172,996,076.00","104,639,516.00",0,0,0,0,0,0,0,0,0,0,0,0,"4,740.00","1,437,750.00","1,605,122.00",89.6,303.32,338.63,"7,359.41","7,373.06","585,911,354.00","54,493,919.00",0,"4,740.00","1,440,770.00","1,608,520.00",89.6,303.96,339.35,"7,359.41","7,379.62","587,084,722.00","50,145,597.00",0
"Reeve Air Alaska, LLC",2023,876,"3,492.00","7,488.00",46.6,3.99,8.55,206.7,215.91,"1,703,199.00","29,381.00","173,096.00",876,"3,492.00","7,488.00",46.6,3.99,8.55,206.7,215.91,"1,703,199.00","29,381.00","173,096.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic Airline,2023,"308,857.00","17,589,744.00","22,948,606.00",76.6,56.95,74.3,483.3,485.87,"6,642,681,003.00",0,0,"288,362.00","16,375,166.00","21,445,741.00",76.4,56.79,74.37,489.35,492.46,"6,205,720,957.00",0,0,"10,253.00","621,254.00","751,829.00",82.6,60.59,73.33,398.36,394.86,"218,606,717.00",0,0,"10,242.00","593,324.00","751,036.00",79,57.93,73.33,398.12,399.27,"218,353,329.00",0,0
Romcargo Airline S.R.L,2023,1,0,0,0,0,0,"6,339.00",0,"242,000.00","70,213.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"6,339.00",0,"242,000.00","70,213.00",0,0,0,0,0,0,0,0,0,0,0,0
Royal Air Maroc,2023,"2,356.00","365,463.00","684,392.00",53.4,155.12,290.49,"3,798.04","3,782.16","177,090,350.00","10,201,734.00",0,0,0,0,0,0,0,0,0,0,0,0,"1,179.00","174,423.00","341,596.00",51.1,147.94,289.73,"3,797.88","3,782.51","88,554,855.00","3,388,930.00",0,"1,177.00","191,040.00","342,796.00",55.7,162.31,291.25,"3,798.20","3,781.84","88,535,495.00","6,812,804.00",0
Ryan Air f/k/a Arctic Transportation,2023,"20,809.00","7,256.00","62,731.00",11.6,0.35,3.01,89.16,141.68,"72,723,100.00","10,126,046.00","13,247,584.00","20,809.00","7,256.00","62,731.00",11.6,0.35,3.01,89.16,141.68,"72,723,100.00","10,126,046.00","13,247,584.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STARLUX AIRLINES,2023,559,"129,135.00","157,803.00",81.8,231.01,282.3,"6,201.20","6,487.47","67,302,641.00","30,501,378.00",0,0,0,0,0,0,0,0,0,0,0,0,280,"66,624.00","79,976.00",83.3,237.94,285.63,"6,193.21","6,496.32","33,624,182.00","15,084,847.00",0,279,"62,511.00","77,827.00",80.3,224.05,278.95,"6,209.22","6,478.04","33,678,459.00","15,416,531.00",0
SWOOP Inc.,2023,"1,607.00","245,915.00","303,723.00",81,153.03,189,"1,401.21","1,405.97","66,253,396.00",24,0,0,0,0,0,0,0,0,0,0,0,0,802,"123,472.00","151,578.00",81.5,153.96,189,"1,399.94","1,403.90","33,064,856.00",12,0,805,"122,443.00","152,145.00",80.5,152.1,189,"1,402.48","1,408.06","33,188,540.00",12,0
Sata Internacional,2023,"1,280.00","198,214.00","244,040.00",81.2,154.85,190.66,"2,555.13","2,554.96","65,265,836.00","290,072.00",0,0,0,0,0,0,0,0,0,0,0,0,641,"99,539.00","122,144.00",81.5,155.29,190.55,"2,557.99","2,552.47","32,675,380.00","7,088.00",0,639,"98,675.00","121,896.00",81,154.42,190.76,"2,552.27","2,557.47","32,590,456.00","282,984.00",0
Saudi Arabian Airlines Corp,2023,"1,051.00","231,632.00","334,354.00",69.3,220.39,318.13,"6,885.96","6,846.84","85,955,441.00","18,355,739.00",0,0,0,0,0,0,0,0,0,0,0,0,533,"115,118.00","169,780.00",67.8,215.98,318.54,"6,891.04","6,862.63","44,550,409.00","10,224,282.00",0,518,"116,514.00","164,574.00",70.8,224.93,317.71,"6,880.74","6,831.25","41,405,032.00","8,131,457.00",0
Scandinavian Airlines Sys.,2023,"7,090.00","1,320,683.00","1,742,689.00",75.8,186.27,245.8,"4,295.21","4,351.61","617,654,964.00","89,772,926.00",0,2,491,528,93,245.5,264,61.5,61.51,"200,024.00","71,377.00",0,"3,541.00","660,760.00","869,785.00",76,186.6,245.63,"4,296.73","4,355.87","309,764,929.00","18,834,880.00",0,"3,547.00","659,432.00","872,376.00",75.6,185.91,245.95,"4,296.07","4,350.54","307,690,011.00","70,866,669.00",0
Scott Air LLC dba Island Air Express,2023,"5,350.00","30,009.00","47,164.00",63.6,5.61,8.82,63.82,59.77,"18,959,982.00","157,355.00","856,883.00","5,350.00","30,009.00","47,164.00",63.6,5.61,8.82,63.82,59.77,"18,959,982.00","157,355.00","856,883.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scott Aviation, LLC  d/b/a  Silver Air",2023,"1,525.00","6,697.00","14,509.00",46.2,4.39,9.51,"1,018.63","1,116.74","2,902,600.00",0,0,"1,348.00","5,738.00","12,581.00",45.6,4.26,9.33,928.04,"1,026.89","2,517,000.00",0,0,88,500,965,51.8,5.68,10.97,"1,814.08","1,818.07","193,000.00",0,0,89,459,963,47.7,5.16,10.82,"1,604.19","1,475.96","192,600.00",0,0
"Seaborne Virgin Islands, Inc.",2023,"4,008.00","38,678.00","50,081.00",77.2,9.65,12.5,43,43,"16,276,488.00",0,0,"4,008.00","38,678.00","50,081.00",77.2,9.65,12.5,43,43,"16,276,488.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sichuan Airlines Co Ltd.,2023,22,"5,694.00","6,778.00",84,258.82,308.09,"7,205.00","7,205.00","1,615,900.00","216,543.00",0,0,0,0,0,0,0,0,0,0,0,0,11,"2,773.00","3,145.00",88.2,252.09,285.91,"7,205.00","7,205.00","756,800.00","9,508.00",0,11,"2,921.00","3,633.00",80.4,265.55,330.27,"7,205.00","7,205.00","859,100.00","207,035.00",0
"Silk Way Airlines, LLC",2023,11,0,0,0,0,0,"2,215.91",0,"1,210,000.00","361,119.00",0,3,0,0,0,0,0,"1,443.67",0,"330,000.00","44,328.00",0,4,0,0,0,0,0,"2,434.50",0,"440,000.00","157,821.00",0,4,0,0,0,0,0,"2,576.50",0,"440,000.00","158,970.00",0
Silk Way West Airlines,2023,150,0,0,0,0,0,"4,791.34",0,"39,343,567.00","25,307,606.00",0,20,0,0,0,0,0,"1,448.15",0,"5,449,489.00","1,831,997.00",0,64,0,0,0,0,0,"5,684.42",0,"16,833,217.00","10,865,738.00",0,66,0,0,0,0,0,"4,938.41",0,"17,060,861.00","12,609,871.00",0
Silver Airways,2023,"24,325.00","779,714.00","1,260,618.00",61.9,32.05,51.82,260.81,256.36,"333,263,936.00","8,221,146.00",0,"17,203.00","555,583.00","872,352.00",63.7,32.3,50.71,280.97,272.97,"237,876,930.00","8,221,136.00",0,"3,566.00","112,075.00","194,428.00",57.6,31.43,54.52,212.13,215.47,"47,767,687.00",2,0,"3,556.00","112,056.00","193,838.00",57.8,31.51,54.51,212.09,214.94,"47,619,319.00",8,0
Singapore Airlines Ltd.,2023,"8,536.00","1,245,762.00","1,811,421.00",68.8,145.94,212.21,"7,570.82","7,682.38","938,308,103.00","197,300,088.00",0,173,0,0,0,0,0,"2,662.86",0,"40,870,883.00","31,165,205.00",0,"4,039.00","615,174.00","907,752.00",67.8,152.31,224.75,"7,761.43","7,650.16","412,916,281.00","62,423,443.00",0,"4,324.00","630,588.00","903,669.00",69.8,145.83,208.99,"7,589.14","7,713.81","484,520,939.00","103,711,440.00",0
Sky Airline Peru,2023,718,"110,522.00","133,548.00",82.8,153.93,186,"2,608.00","2,608.00","31,571,606.00","94,233.00",0,0,0,0,0,0,0,0,0,0,0,0,359,"52,854.00","66,774.00",79.2,147.23,186,"2,608.00","2,608.00","15,785,803.00","48,288.00",0,359,"57,668.00","66,774.00",86.4,160.64,186,"2,608.00","2,608.00","15,785,803.00","45,945.00",0
