Carrier,Year,Total Departures,Total Passengers,Total Seats,Total Load Factor (%),Total Passengers/Flight,Total Seats/Flight,Total Distance/Flight (sm),Total Distance/Passenger (sm),Total Payload (lbs),Total Freight (lbs),Total Mail (lbs),Domestic Departures,Domestic Passengers,Domestic Seats,Domestic Load Factor (%),Domestic Passengers/Flight,Domestic Seats/Flight,Domestic Distance/Flight (sm),Domestic Distance/Passenger (sm),Domestic Payload (lbs),Domestic Freight (lbs),Domestic Mail (lbs),Outbound International Departures,Outbound International Passengers,Outbound International Seats,Outbound International Load Factor (%),Outbound International Passengers/Flight,Outbound International Seats/Flight,Outbound International Distance/Flight (sm),Outbound International Distance/Passenger (sm),Outbound International Payload (lbs),Outbound International Freight (lbs),Outbound International Mail (lbs),Inbound International Departures,Inbound International Passengers,Inbound International Seats,Inbound International Load Factor (%),Inbound International Passengers/Flight,Inbound International Seats/Flight,Inbound International Distance/Flight (sm),Inbound International Distance/Passenger (sm),Inbound International Payload (lbs),Inbound International Freight (lbs),Inbound International Mail (lbs)
"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",2023,"6,833.00","78,481.00","94,982.00",82.6,11.49,13.9,56.45,51.63,"20,140,400.00",0,0,"6,833.00","78,481.00","94,982.00",82.6,11.49,13.9,56.45,51.63,"20,140,400.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Canyon Helicopters,2023,585,0,"3,474.00",0,0,5.94,59,0,"861,544.00",0,0,585,0,"3,474.00",0,0,5.94,59,0,"861,544.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Aviation,2023,"82,230.00","242,212.00","628,145.00",38.6,2.95,7.64,65.29,70.93,"185,386,888.00","2,422,911.00","17,523,517.00","82,230.00","242,212.00","628,145.00",38.6,2.95,7.64,65.29,70.93,"185,386,888.00","2,422,911.00","17,523,517.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gulf And Caribbean Cargo,2023,"5,576.00",0,0,0,0,0,598.33,0,"126,179,832.00","43,464,500.00",0,"1,897.00",0,0,0,0,0,808.34,0,"51,689,674.00","9,909,014.00",0,"1,841.00",0,0,0,0,0,510.52,0,"37,293,100.00","16,463,973.00",0,"1,838.00",0,0,0,0,0,469.54,0,"37,197,058.00","17,091,513.00",0
"HARBOUR AIR LTD. D/B/A HARBOUR AIR SEAPLANES, WHISTLER AIR AND SALTSPRING AIR",2023,675,"2,600.00","6,062.00",42.9,3.85,8.98,120.9,120.87,"1,402,409.00",0,0,0,0,0,0,0,0,0,0,0,0,0,337,"1,238.00","3,023.00",41,3.67,8.97,120.9,120.87,"743,659.00",0,0,338,"1,362.00","3,039.00",44.8,4.03,8.99,120.9,120.87,"658,750.00",0,0
Hamilton Jetport Limited,2023,190,770,"1,765.00",43.6,4.05,9.29,"1,088.13","1,094.67","641,207.00",0,0,22,64,136,47.1,2.91,6.18,365.86,409.19,"54,570.00",0,0,82,352,804,43.8,4.29,9.8,"1,182.45","1,186.60","291,501.00",0,0,86,354,825,42.9,4.12,9.59,"1,182.97","1,127.19","295,136.00",0,0
Haute Aviation,2023,69,244,897,27.2,3.54,13,"2,567.77","3,419.56","468,441.00",0,0,19,19,247,7.7,1,13,845.21,954.84,"128,991.00",0,0,25,131,325,40.3,5.24,13,"3,249.80","3,474.50","169,725.00",0,0,25,94,325,28.9,3.76,13,"3,194.88","3,841.18","169,725.00",0,0
Hawaiian Airlines Inc.,2023,"84,270.00","10,885,131.00","13,837,671.00",78.7,129.17,164.21,"1,011.15","1,549.00","4,095,104,400.00","165,213,801.00","712,245.00","80,129.00","9,995,872.00","12,692,536.00",78.8,124.75,158.4,848.02,"1,313.77","3,657,384,100.00","126,166,884.00","665,939.00","2,071.00","441,013.00","572,801.00",77,212.95,276.58,"4,167.63","4,188.68","218,885,300.00","7,041,644.00","46,306.00","2,070.00","448,246.00","572,334.00",78.3,216.54,276.49,"4,168.09","4,197.47","218,835,000.00","32,005,273.00",0
Hong Kong Airlines Limited,2023,18,"1,388.00","1,600.00",86.8,77.11,88.89,"2,139.00","2,139.00","394,556.00",0,0,0,0,0,0,0,0,0,0,0,0,0,9,694,800,86.8,77.11,88.89,"2,139.00","2,139.00","197,278.00",0,0,9,694,800,86.8,77.11,88.89,"2,139.00","2,139.00","197,278.00",0,0
Horizon Air,2023,"70,415.00","4,383,515.00","5,351,540.00",81.9,62.25,76,481.16,486.95,"1,382,618,700.00","3,394,070.00","223,658.00","68,463.00","4,259,644.00","5,203,188.00",81.9,62.22,76,483.11,488.84,"1,344,270,300.00","3,386,804.00","223,176.00",977,"62,769.00","74,252.00",84.5,64.25,76,413.04,423.18,"19,193,800.00","3,771.00",482,975,"61,102.00","74,100.00",82.5,62.67,76,412.96,421.16,"19,154,600.00","3,495.00",0
